Student_Number,P4_Criteria_1_Accuracy,P4_Criteria_2_Analysis,P4_Criteria_3_Organization,P4_Criteria_4_Clarity,P4_Criteria_5_Professionalism,P4_Total_Score,P4_Grade,P4_Hallucination,P4_Notes,Time_Spent_Assignment_4,Group,AI_Condition
7f1b0f735e644984,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,48.0,B,GPT 01
742df284c8614f30,5.0,4.0,5.0,4.0,4.0,22.0,B,,,180.0,C,Vincent
8cdf78ab6a3a812f,,,,,,,,,,,B,GPT 01
9ee9f3b5b5934e01,5.0,2.0,4.0,4.0,2.0,17.0,B-,,,90.0,B,GPT 01
af90ee0cf16ffd33,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,76.0,C,Vincent
2c2689aba2638d95,,,,,,,,,,,A,No AI
ce5032424903d61d,6.0,6.0,5.0,5.0,5.0,27.0,B+,,,105.0,B,GPT 01
1d27419a27bc132a,7.0,7.0,6.0,7.0,7.0,34.0,A,,,45.0,B,GPT 01
68c3cbbda9ab9909,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,180.0,B,GPT 01
475d59d3b81d4bac,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,170.0,A,No AI
ef03ab8ccbaa668b,,,,,,,,,,,C,Vincent
dd5b4506ccb8edff,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,165.0,B,GPT 01
2cd520fd07667404,4.0,4.0,5.0,4.0,5.0,22.0,B,,,35.0,B,GPT 01
e5515ac0c0f126c6,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,65.0,A,No AI
7eb33ecb29043786,3.0,3.0,2.0,2.0,2.0,12.0,C+,,,75.0,B,GPT 01
7d228f6d656337bb,7.0,6.0,4.0,5.0,5.0,27.0,B+,,,36.0,B,GPT 01
cdb181d570ee13d8,7.0,6.0,6.0,6.0,7.0,32.0,A-,,,140.0,A,No AI
1a20cabcd1a8d41b,,,,,,,,,,,C,Vincent
e58dc153e9c0e8e4,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,159.0,C,Vincent
f719e16be770c0b8,7.0,6.0,6.0,6.0,6.0,31.0,A-,,,60.0,A,No AI
43f61b7cd08cc6c4,7.0,5.0,5.0,5.0,7.0,29.0,A-,,,52.0,C,Vincent
078cae7e345937f3,7.0,6.0,5.0,5.0,6.0,29.0,A-,,,130.0,A,No AI
8a1109561512c218,3.0,2.0,2.0,3.0,3.0,13.0,B-,,,130.0,C,Vincent
f418aa093c4203e9,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,80.0,A,No AI
2657ee4bf9f4af9e,3.0,3.0,3.0,3.0,2.0,14.0,B-,,,95.0,B,GPT 01
aa1baebc4a1d7593,7.0,6.0,6.0,5.0,7.0,31.0,A-,,,60.0,C,Vincent
191cebe1180b87c5,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,55.0,B,GPT 01
57704d5ad8b677c6,,,,,,,,,,,A,No AI
66f7ab8e6000f22a,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,173.0,A,No AI
61cf76867144f7f2,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,123.0,C,Vincent
8a8a16cd60695e63,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,150.0,C,Vincent
8917388e20196b3b,7.0,6.0,6.0,6.0,6.0,31.0,A-,,,60.0,A,No AI
4a4289064cdbdc09,,,,,,,,,,,A,No AI
8b9bdb0a143ba05b,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,150.0,C,Vincent
2cf399b1e4b8218b,,,,,,,,,,,A,No AI
97fba5cb44daf59a,5.0,4.0,4.0,4.0,5.0,22.0,B,,,85.0,A,No AI
8873cf8f31074e16,5.0,3.0,5.0,4.0,4.0,21.0,B,,,119.0,A,No AI
724b54dabebd5f65,,,,,,,,,,,A,No AI
4b83c41e5327c306,,,,,,,,,,,B,GPT 01
430c3b797887e240,3.0,2.0,2.0,2.0,3.0,12.0,C,,,120.0,A,No AI
33801e2d42ffddfc,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,90.0,A,No AI
7dd7e803832f1b53,6.0,5.0,5.0,5.0,7.0,28.0,A-,,,167.0,B,GPT 01
8e8ec402ff41e278,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,55.0,A,No AI
29041031c3d5738c,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,180.0,C,Vincent
1f60b1ad89313d0d,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,75.0,B,GPT 01
421124a6a4ec2792,5.0,4.0,4.0,4.0,3.0,20.0,B,,,60.0,B,GPT 01
26f3d54698dd2636,6.0,4.0,4.0,4.0,3.0,21.0,B,,,130.0,B,GPT 01
f3e93859c85d9caf,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,23.0,A,No AI
7fb6a95e77f2886e,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,65.0,A,No AI
069503ef9c782673,5.0,4.0,5.0,6.0,5.0,25.0,B+,,,75.0,B,GPT 01
4145e4dd01e45431,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,130.0,A,No AI
a6a04fd22939f38a,5.0,3.0,4.0,4.0,4.0,20.0,B,,,90.0,B,GPT 01
237698639e9c4d30,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,55.0,A,No AI
2da3540d563c6034,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,54.0,A,No AI
70204533c2ea64a7,,,,,,,,,,,C,Vincent
f9afd8e31ee8a875,5.0,4.0,4.0,4.0,5.0,22.0,B,,,40.0,A,No AI
e08dd06e4e008462,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,60.0,C,Vincent
5e4dc1276a5cbfd1,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,19.0,C,Vincent
de22252a67fcc399,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,113.0,C,Vincent
c93c749489f4cc74,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,134.0,A,No AI
63f3737ed386432b,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,50.0,B,GPT 01
fd8b9815d1fcaf22,,,,,,,,,,,C,Vincent
22357cb4b713c556,5.0,4.0,4.0,5.0,4.0,22.0,B,,,32.0,A,No AI
632e8584adc40b35,,,,,,,D,,"uploaded the assignment doc, not the assignment",107.0,C,Vincent
b066caa360c869a0,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,140.0,A,No AI
eb817297c2e6d83a,7.0,6.0,6.0,5.0,7.0,31.0,A-,,,102.0,C,Vincent
17a215d736ecc60d,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,121.0,B,GPT 01
154726f1d96f65a1,,,,,,,,,,,C,Vincent
69d5d27764fbbaac,5.0,4.0,5.0,5.0,3.0,22.0,B,,,27.0,B,GPT 01
3088c17c41bb79cf,6.0,4.0,4.0,5.0,6.0,25.0,B+,,,87.0,A,No AI
4f612a8708358179,,,,,,,,,,,A,No AI
8c09cd568a2f07d6,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,52.0,B,GPT 01
8944194b2121b319,6.0,5.0,4.0,4.0,6.0,25.0,B+,,,85.0,B,GPT 01
75bfae39ea7d8d5b,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,68.0,B,GPT 01
17ca821110ac1fa2,7.0,5.0,5.0,6.0,7.0,30.0,A-,,,42.0,C,Vincent
99036510fd96b8f9,,,,,,,,,,,B,GPT 01
422317341c3e815e,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,150.0,B,GPT 01
e74d00befb08510a,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,150.0,B,GPT 01
d64f01781e54567f,5.0,5.0,6.0,6.0,5.0,27.0,B+,,,107.0,B,GPT 01
1ab6eb774f9416f2,,,,,,,,,,,A,No AI
0fa325208d547822,5.0,4.0,4.0,4.0,4.0,21.0,B,,,13.0,B,GPT 01
d1082f98da60718d,5.0,4.0,3.0,3.0,4.0,19.0,B,,,180.0,B,GPT 01
f91d96f422d5707e,5.0,5.0,4.0,5.0,6.0,25.0,B+,,,90.0,A,No AI
05c223da1342eb22,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,53.0,B,GPT 01
15947270bb099c07,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,16.0,A,No AI
eb0657499c70202f,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,117.0,A,No AI
0534f6d47f4a21f6,5.0,5.0,6.0,6.0,5.0,27.0,B+,,,146.0,C,Vincent
11d471df43205dfb,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,156.0,C,Vincent
e0a9f0ffff131843,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,102.0,C,Vincent
b0eea11d8aa104e7,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,168.0,C,Vincent
22eaed27a6a72a3c,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,150.0,C,Vincent
d8bb952342c588bb,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,60.0,B,GPT 01
bf1a26353df9965e,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,52.0,B,GPT 01
09c545b24ffb476e,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,45.0,A,No AI
a40efe211e46e49a,6.0,4.0,5.0,6.0,6.0,27.0,B+,,,56.0,A,No AI
7384d11c263ac7d9,5.0,4.0,6.0,6.0,6.0,27.0,B+,,,95.0,A,No AI
9e2e00fa7c285ff5,5.0,4.0,4.0,5.0,4.0,22.0,B,,,20.0,C,Vincent
eab55a7284651fe8,5.0,4.0,3.0,4.0,5.0,21.0,B,,,60.0,C,Vincent
fc7f934bbaf5bcc5,6.0,5.0,4.0,5.0,6.0,26.0,B+,,,75.0,C,Vincent
eb6be2f6ae0e29b1,5.0,4.0,5.0,6.0,5.0,25.0,B+,,,60.0,C,Vincent
98bd1346a5fce77b,6.0,6.0,5.0,6.0,7.0,30.0,A-,,,70.0,B,GPT 01
a067276138a65c6a,,,,,,,,,,,C,Vincent
