Student_Number,P3_Criteria_1_Accuracy,P3_Criteria_2_Analysis,P3_Criteria_3_Organization,P3_Criteria_4_Clarity,P3_Criteria_5_Professionalism,P3_Total_Score,P3_Grade,P3_Hallucination,P3_Notes,Time_Spent_Assignment_3,Group,AI_Condition
f4534ca99db52354,,,,,,,,,,,B,Vincent
889b30f2a988ff0a,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,81.0,B,Vincent
efbfc0f029c0ac5f,7.0,7.0,5.0,6.0,7.0,32.0,A-,,,120.0,C,No AI
1532b47abfa256d4,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,97.0,B,Vincent
824bb66524753233,5.0,4.0,3.0,3.0,2.0,17.0,B,,,120.0,C,No AI
f89651d646f1ab95,7.0,6.0,6.0,6.0,7.0,32.0,A-,,,60.0,A,GPT 01
02a6298460b477ce,6.0,5.0,5.0,5.0,4.0,25.0,B+,,,120.0,B,Vincent
3b79cd5d4dc9545c,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,100.0,C,No AI
d43b490ad3b330c7,,,,,,,,,,,B,Vincent
81703482b559611e,5.0,4.0,4.0,4.0,5.0,22.0,B,,,34.0,B,Vincent
8b3794f02b5e4db5,5.0,5.0,5.0,6.0,5.0,26.0,B+,,,118.0,C,No AI
79d436c6314eda33,4.0,5.0,6.0,5.0,6.0,26.0,B+,,,25.0,A,GPT 01
9be12b158467797d,5.0,5.0,5.0,4.0,6.0,25.0,B+,,,100.0,C,No AI
820ef4cb24626154,4.0,4.0,4.0,4.0,5.0,21.0,B,,,55.0,B,Vincent
b342e13cf1dcabea,5.0,5.0,3.0,4.0,3.0,20.0,B,,,120.0,C,No AI
bfd51df7115d0bee,5.0,5.0,7.0,7.0,7.0,31.0,A-,,,81.0,B,Vincent
8fd8eb1d02d74b73,7.0,6.0,7.0,7.0,7.0,34.0,A,,,20.0,A,GPT 01
60f4a10cf0e76952,5.0,6.0,5.0,6.0,5.0,27.0,B+,,,36.0,A,GPT 01
f7b9fdfc04c988ab,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,69.0,A,GPT 01
446f96dc3003002c,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,120.0,A,GPT 01
d2aff30970fe0d4c,3.0,2.0,3.0,3.0,3.0,14.0,B-,,,120.0,C,No AI
7f1b0f735e644984,4.0,4.0,3.0,3.0,5.0,19.0,B,,,45.0,B,Vincent
742df284c8614f30,3.0,2.0,2.0,2.0,2.0,11.0,C+,,,120.0,C,No AI
8cdf78ab6a3a812f,,,,,,,,,,,B,Vincent
9ee9f3b5b5934e01,2.0,2.0,2.0,2.0,3.0,11.0,C+,,,60.0,B,Vincent
af90ee0cf16ffd33,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,120.0,C,No AI
2c2689aba2638d95,,,,,,,,,,,A,GPT 01
ce5032424903d61d,6.0,4.0,5.0,6.0,6.0,27.0,B+,,,70.0,B,Vincent
1d27419a27bc132a,6.0,4.0,6.0,5.0,6.0,27.0,B+,,,73.0,B,Vincent
68c3cbbda9ab9909,7.0,6.0,6.0,6.0,7.0,32.0,A-,,,90.0,B,Vincent
475d59d3b81d4bac,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,100.0,A,GPT 01
ef03ab8ccbaa668b,,,,,,,,,,,C,No AI
dd5b4506ccb8edff,4.0,5.0,6.0,6.0,6.0,27.0,B+,,,120.0,B,Vincent
2cd520fd07667404,5.0,7.0,7.0,7.0,6.0,32.0,A-,,,45.0,B,Vincent
e5515ac0c0f126c6,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,48.0,A,GPT 01
7eb33ecb29043786,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,120.0,B,Vincent
7d228f6d656337bb,7.0,6.0,7.0,7.0,7.0,34.0,A,,,20.0,B,Vincent
cdb181d570ee13d8,4.0,5.0,5.0,5.0,6.0,25.0,B+,,,119.0,A,GPT 01
1a20cabcd1a8d41b,,,,,,,,,,,C,No AI
e58dc153e9c0e8e4,5.0,3.0,3.0,5.0,3.0,19.0,B,,,120.0,C,No AI
f719e16be770c0b8,6.0,4.0,6.0,5.0,6.0,27.0,B+,,,60.0,A,GPT 01
43f61b7cd08cc6c4,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,110.0,C,No AI
078cae7e345937f3,4.0,4.0,6.0,6.0,6.0,26.0,B+,,,120.0,A,GPT 01
8a1109561512c218,4.0,3.0,5.0,5.0,5.0,22.0,B,,,85.0,C,No AI
f418aa093c4203e9,4.0,2.0,4.0,3.0,4.0,17.0,B-,,hallucinations - made up case,95.0,A,GPT 01
2657ee4bf9f4af9e,6.0,5.0,5.0,6.0,6.0,28.0,A-,,,26.0,B,Vincent
aa1baebc4a1d7593,5.0,4.0,6.0,6.0,6.0,27.0,B+,,,60.0,C,No AI
191cebe1180b87c5,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,105.0,B,Vincent
57704d5ad8b677c6,,,,,,,,,,,A,GPT 01
66f7ab8e6000f22a,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,88.0,A,GPT 01
61cf76867144f7f2,4.0,4.0,5.0,5.0,3.0,21.0,B,,,120.0,C,No AI
8a8a16cd60695e63,5.0,4.0,6.0,6.0,6.0,27.0,B+,,,80.0,C,No AI
8917388e20196b3b,4.0,4.0,4.0,5.0,5.0,22.0,B,,,40.0,A,GPT 01
4a4289064cdbdc09,,,,,,,,,,,A,GPT 01
8b9bdb0a143ba05b,2.0,2.0,2.0,3.0,2.0,11.0,C+,,,120.0,C,No AI
2cf399b1e4b8218b,,,,,,,,,,,A,GPT 01
97fba5cb44daf59a,7.0,5.0,6.0,5.0,6.0,29.0,A-,,,75.0,A,GPT 01
8873cf8f31074e16,7.0,7.0,6.0,6.0,6.0,32.0,A-,,,82.0,A,GPT 01
724b54dabebd5f65,,,,,,,,,,,A,GPT 01
4b83c41e5327c306,,,,,,,,,,,B,Vincent
430c3b797887e240,5.0,4.0,4.0,4.0,5.0,22.0,B,,,60.0,A,GPT 01
33801e2d42ffddfc,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,120.0,A,GPT 01
7dd7e803832f1b53,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,73.0,B,Vincent
8e8ec402ff41e278,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,60.0,A,GPT 01
29041031c3d5738c,5.0,4.0,4.0,5.0,4.0,22.0,B,,,120.0,C,No AI
1f60b1ad89313d0d,5.0,4.0,4.0,4.0,5.0,22.0,B,,,72.0,B,Vincent
421124a6a4ec2792,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,60.0,B,Vincent
26f3d54698dd2636,5.0,5.0,6.0,5.0,5.0,26.0,B+,,,109.0,B,Vincent
f3e93859c85d9caf,5.0,4.0,4.0,4.0,5.0,22.0,B,,,75.0,A,GPT 01
7fb6a95e77f2886e,2.0,0.0,2.0,1.0,2.0,7.0,C,,,30.0,A,GPT 01
069503ef9c782673,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,65.0,B,Vincent
4145e4dd01e45431,7.0,6.0,7.0,7.0,7.0,34.0,A,,,113.0,A,GPT 01
a6a04fd22939f38a,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,45.0,B,Vincent
237698639e9c4d30,4.0,3.0,3.0,4.0,4.0,18.0,B,,,85.0,A,GPT 01
2da3540d563c6034,7.0,7.0,6.0,6.0,6.0,32.0,A-,,,79.0,A,GPT 01
70204533c2ea64a7,,,,,,,,,,,C,No AI
f9afd8e31ee8a875,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,40.0,A,GPT 01
e08dd06e4e008462,7.0,5.0,6.0,6.0,5.0,29.0,A-,,,75.0,C,No AI
5e4dc1276a5cbfd1,7.0,6.0,6.0,7.0,5.0,31.0,A-,,,80.0,C,No AI
de22252a67fcc399,7.0,7.0,7.0,6.0,7.0,34.0,A,,,113.0,C,No AI
c93c749489f4cc74,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,120.0,A,GPT 01
63f3737ed386432b,5.0,3.0,5.0,5.0,6.0,24.0,B+,,,80.0,B,Vincent
fd8b9815d1fcaf22,,,,,,,,,,,C,No AI
22357cb4b713c556,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,27.0,A,GPT 01
632e8584adc40b35,4.0,5.0,4.0,4.0,5.0,22.0,B,,,120.0,C,No AI
b066caa360c869a0,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,110.0,A,GPT 01
eb817297c2e6d83a,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,100.0,C,No AI
17a215d736ecc60d,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,49.0,B,Vincent
154726f1d96f65a1,,,,,,,,,,,C,No AI
69d5d27764fbbaac,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,93.0,B,Vincent
3088c17c41bb79cf,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,118.0,A,GPT 01
4f612a8708358179,,,,,,,,,,,A,GPT 01
8c09cd568a2f07d6,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,56.0,B,Vincent
8944194b2121b319,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,45.0,B,Vincent
75bfae39ea7d8d5b,5.0,5.0,6.0,5.0,5.0,26.0,B+,,,36.0,B,Vincent
17ca821110ac1fa2,4.0,4.0,5.0,6.0,3.0,22.0,B,,,120.0,C,No AI
99036510fd96b8f9,,,,,,,,,,,B,Vincent
422317341c3e815e,6.0,5.0,6.0,5.0,5.0,27.0,B+,,,120.0,B,Vincent
e74d00befb08510a,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,60.0,B,Vincent
d64f01781e54567f,6.0,5.0,7.0,5.0,7.0,30.0,A-,,,120.0,B,Vincent
1ab6eb774f9416f2,,,,,,,,,,,A,GPT 01
0fa325208d547822,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,30.0,B,Vincent
d1082f98da60718d,4.0,4.0,4.0,5.0,5.0,22.0,B,,,50.0,B,Vincent
f91d96f422d5707e,5.0,4.0,4.0,5.0,4.0,22.0,B,,,75.0,A,GPT 01
05c223da1342eb22,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,60.0,B,Vincent
15947270bb099c07,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,25.0,A,GPT 01
eb0657499c70202f,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,115.0,A,GPT 01
0534f6d47f4a21f6,4.0,4.0,5.0,6.0,6.0,25.0,B+,,,101.0,C,No AI
11d471df43205dfb,4.0,4.0,4.0,5.0,5.0,22.0,B,,,83.0,C,No AI
e0a9f0ffff131843,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,120.0,C,No AI
b0eea11d8aa104e7,6.0,4.0,4.0,5.0,3.0,22.0,B,,,120.0,C,No AI
22eaed27a6a72a3c,5.0,4.0,6.0,5.0,6.0,26.0,B+,,,100.0,C,No AI
d8bb952342c588bb,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,60.0,B,Vincent
bf1a26353df9965e,5.0,4.0,4.0,4.0,5.0,22.0,B,,,33.0,B,Vincent
09c545b24ffb476e,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,56.0,A,GPT 01
a40efe211e46e49a,5.0,4.0,4.0,4.0,5.0,22.0,B,,,39.0,A,GPT 01
7384d11c263ac7d9,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,85.0,A,GPT 01
9e2e00fa7c285ff5,4.0,2.0,3.0,4.0,3.0,16.0,B-,,,120.0,C,No AI
eab55a7284651fe8,5.0,4.0,5.0,6.0,6.0,26.0,B+,,,80.0,C,No AI
fc7f934bbaf5bcc5,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,120.0,C,No AI
eb6be2f6ae0e29b1,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,95.0,C,No AI
98bd1346a5fce77b,4.0,5.0,6.0,6.0,5.0,26.0,B+,,,82.0,B,Vincent
a067276138a65c6a,,,,,,,,,,,C,No AI
