Student_Number,P5_Criteria_1_Accuracy,P5_Criteria_2_Analysis,P5_Criteria_3_Organization,P5_Criteria_4_Clarity,P5_Criteria_5_Professionalism,P5_Total_Score,P5_Grade,P5_Hallucination,P5_Hallucination_Note,P5_Notes,Time_Spent_Assignment_5,Group,AI_Condition
c93c749489f4cc74,5.0,5.0,4.0,5.0,6.0,25.0,B+,,,,125.0,A,Vincent
63f3737ed386432b,6.0,6.0,6.0,5.0,5.0,28.0,A-,,,,120.0,B,No AI
fd8b9815d1fcaf22,,,,,,,,,,,,C,GPT 01
22357cb4b713c556,5.0,5.0,6.0,4.0,5.0,25.0,B+,,,,15.0,A,Vincent
632e8584adc40b35,4.0,5.0,6.0,3.0,5.0,23.0,B+,,,,85.0,C,GPT 01
b066caa360c869a0,4.0,3.0,4.0,3.0,3.0,17.0,B-,,,,110.0,A,Vincent
eb817297c2e6d83a,4.0,4.0,5.0,4.0,5.0,22.0,B,,,,83.0,C,GPT 01
17a215d736ecc60d,5.0,5.0,4.0,4.0,5.0,23.0,B+,,,,92.0,B,No AI
154726f1d96f65a1,,,,,,,,,,,,C,GPT 01
69d5d27764fbbaac,5.0,4.0,5.0,4.0,5.0,23.0,B+,,,,42.0,B,No AI
3088c17c41bb79cf,6.0,4.0,5.0,4.0,5.0,24.0,B+,,,,42.0,A,Vincent
4f612a8708358179,,,,,,,,,,,,A,Vincent
8c09cd568a2f07d6,2.0,3.0,4.0,4.0,4.0,17.0,B-,3,Two of the citations were to the wrong case. One was a fabricated case.,,73.0,B,No AI
8944194b2121b319,5.0,4.0,5.0,4.0,5.0,23.0,B+,,,,125.0,B,No AI
75bfae39ea7d8d5b,4.0,4.0,5.0,4.0,5.0,22.0,B,,,,54.0,B,No AI
17ca821110ac1fa2,5.0,5.0,6.0,4.0,6.0,26.0,B+,,,,87.0,C,GPT 01
99036510fd96b8f9,,,,,,,,,,,,B,No AI
422317341c3e815e,2.0,2.0,2.0,3.0,2.0,11.0,C+,,,,150.0,B,No AI
e74d00befb08510a,2.0,2.0,3.0,4.0,3.0,14.0,B-,,,,150.0,B,No AI
d64f01781e54567f,4.0,4.0,4.0,3.0,4.0,19.0,B,,,,145.0,B,No AI
1ab6eb774f9416f2,,,,,,,,,,,,A,Vincent
0fa325208d547822,5.0,5.0,5.0,4.0,5.0,24.0,B+,,,,30.0,B,No AI
d1082f98da60718d,2.0,2.0,2.0,4.0,2.0,12.0,B-,,,,35.0,B,No AI
f91d96f422d5707e,4.0,4.0,3.0,4.0,2.0,17.0,B-,,,,65.0,A,Vincent
05c223da1342eb22,5.0,4.0,4.0,4.0,5.0,22.0,B,,,,100.0,B,No AI
15947270bb099c07,6.0,4.0,5.0,3.0,4.0,22.0,B,,,,32.0,A,Vincent
eb0657499c70202f,3.0,4.0,5.0,4.0,4.0,20.0,B,,,,76.0,A,Vincent
0534f6d47f4a21f6,5.0,4.0,5.0,,6.0,20.0,B,,,,123.0,C,GPT 01
11d471df43205dfb,4.0,6.0,6.0,5.0,6.0,27.0,B,,,,72.0,C,GPT 01
e0a9f0ffff131843,4.0,4.0,5.0,4.0,4.0,21.0,B,,,,64.0,C,GPT 01
b0eea11d8aa104e7,3.0,3.0,5.0,5.0,5.0,21.0,B,,,,124.0,C,GPT 01
22eaed27a6a72a3c,,,,,,,,,,Student Submitted Wrong Assignment,145.0,C,GPT 01
d8bb952342c588bb,4.0,3.0,3.0,3.0,2.0,15.0,B,,,,60.0,B,No AI
bf1a26353df9965e,4.0,3.0,4.0,3.0,3.0,17.0,B-,,,,69.0,B,No AI
09c545b24ffb476e,2.0,3.0,4.0,4.0,3.0,16.0,B-,,,,87.0,A,Vincent
a40efe211e46e49a,4.0,5.0,6.0,5.0,6.0,26.0,B+,,,,43.0,A,Vincent
7384d11c263ac7d9,6.0,5.0,6.0,5.0,6.0,28.0,A-,,,,68.0,A,Vincent
9e2e00fa7c285ff5,3.0,4.0,5.0,3.0,5.0,20.0,B,1,Fabricated case,,10.0,C,GPT 01
eab55a7284651fe8,4.0,4.0,5.0,5.0,4.0,22.0,B,,,,15.0,C,GPT 01
fc7f934bbaf5bcc5,3.0,3.0,5.0,4.0,4.0,19.0,B,,,,45.0,C,GPT 01
eb6be2f6ae0e29b1,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,,40.0,C,GPT 01
98bd1346a5fce77b,4.0,4.0,4.0,4.0,4.0,20.0,B,,,,87.0,B,No AI
a067276138a65c6a,,,,,,,,,,,,C,GPT 01
