Student_Number,Student_Name,GPA,Student_Type,AI_Use
9109b13b11fd7782,9109b13b11fd7782,3.48,1.0,2.0
e0586dd6ba414274,e0586dd6ba414274,3.4,2.0,2.0
7e107a9c0ebdc482,7e107a9c0ebdc482,3.616,1.0,3.0
c1f9916910cd4128,c1f9916910cd4128,2.9,1.0,5.0
68c3cbbda9ab9909,68c3cbbda9ab9909,3.31,1.0,2.0
1d27419a27bc132a,1d27419a27bc132a,3.333,2.0,1.0
af90ee0cf16ffd33,af90ee0cf16ffd33,3.8,2.0,3.0
742df284c8614f30,742df284c8614f30,3.84,1.0,4.0
43f61b7cd08cc6c4,43f61b7cd08cc6c4,3.576,2.0,3.0
078cae7e345937f3,078cae7e345937f3,3.147,1.0,5.0
bfd51df7115d0bee,bfd51df7115d0bee,4.0,2.0,5.0
820ef4cb24626154,820ef4cb24626154,3.491,1.0,2.0
b342e13cf1dcabea,b342e13cf1dcabea,3.213,1.0,2.0
446f96dc3003002c,446f96dc3003002c,3.433,2.0,2.0
f7b9fdfc04c988ab,f7b9fdfc04c988ab,3.4,1.0,1.0
7f1b0f735e644984,7f1b0f735e644984,2.9,2.0,3.0
3b79cd5d4dc9545c,3b79cd5d4dc9545c,3.317,1.0,3.0
824bb66524753233,824bb66524753233,3.3,2.0,5.0
f91d96f422d5707e,f91d96f422d5707e,3.573,1.0,4.0
d64f01781e54567f,d64f01781e54567f,,3.0,2.0
0534f6d47f4a21f6,0534f6d47f4a21f6,3.013,2.0,3.0
09c545b24ffb476e,09c545b24ffb476e,3.08,1.0,1.0
2cd520fd07667404,2cd520fd07667404,2.89,1.0,5.0
2657ee4bf9f4af9e,2657ee4bf9f4af9e,3.507,2.0,1.0
e5515ac0c0f126c6,e5515ac0c0f126c6,2.8,2.0,2.0
cdb181d570ee13d8,cdb181d570ee13d8,2.907,1.0,1.0
7d228f6d656337bb,7d228f6d656337bb,3.5,2.0,3.0
61cf76867144f7f2,61cf76867144f7f2,3.12,2.0,2.0
66f7ab8e6000f22a,66f7ab8e6000f22a,2.8,1.0,5.0
f719e16be770c0b8,f719e16be770c0b8,3.25,1.0,3.0
237698639e9c4d30,237698639e9c4d30,3.49,2.0,2.0
2da3540d563c6034,2da3540d563c6034,3.52,1.0,5.0
f9afd8e31ee8a875,f9afd8e31ee8a875,3.44,1.0,5.0
26f3d54698dd2636,26f3d54698dd2636,3.18,1.0,2.0
fc7f934bbaf5bcc5,fc7f934bbaf5bcc5,,3.0,3.0
a40efe211e46e49a,a40efe211e46e49a,3.6,2.0,2.0
bf1a26353df9965e,bf1a26353df9965e,2.97,1.0,5.0
7eb33ecb29043786,7eb33ecb29043786,3.5,2.0,2.0
aa1baebc4a1d7593,aa1baebc4a1d7593,3.143,2.0,5.0
8873cf8f31074e16,8873cf8f31074e16,3.3,2.0,1.0
430c3b797887e240,430c3b797887e240,,3.0,5.0
dd5b4506ccb8edff,dd5b4506ccb8edff,,3.0,5.0
475d59d3b81d4bac,475d59d3b81d4bac,,3.0,3.0
3d53c1b0295b9a26,3d53c1b0295b9a26,,3.0,3.0
1777a66aff697497,1777a66aff697497,3.48,1.0,3.0
ce5032424903d61d,ce5032424903d61d,,3.0,4.0
9be12b158467797d,9be12b158467797d,,3.0,5.0
1532b47abfa256d4,1532b47abfa256d4,,3.0,2.0
97fba5cb44daf59a,97fba5cb44daf59a,,3.0,2.0
e58dc153e9c0e8e4,e58dc153e9c0e8e4,,3.0,5.0
79d436c6314eda33,79d436c6314eda33,,3.0,5.0
632e8584adc40b35,632e8584adc40b35,3.69,2.0,3.0
865d47f31de717c9,865d47f31de717c9,3.3,2.0,1.0
8fd8eb1d02d74b73,8fd8eb1d02d74b73,3.01,1.0,5.0
22eaed27a6a72a3c,22eaed27a6a72a3c,,3.0,5.0
c55ed9175b0738c2,c55ed9175b0738c2,3.413,1.0,2.0
f3ca044a6fc18861,f3ca044a6fc18861,3.0,2.0,2.0
70204533c2ea64a7,70204533c2ea64a7,3.08,1.0,2.0
4b83c41e5327c306,4b83c41e5327c306,,3.0,2.0
ec2ed9ca82601e42,ec2ed9ca82601e42,3.3,1.0,3.0
d43b490ad3b330c7,d43b490ad3b330c7,3.77,2.0,2.0
5c031f15ede898cb,5c031f15ede898cb,3.09,1.0,5.0
f4534ca99db52354,f4534ca99db52354,3.25,2.0,1.0
1a20cabcd1a8d41b,1a20cabcd1a8d41b,3.383,2.0,3.0
ef03ab8ccbaa668b,ef03ab8ccbaa668b,3.67,2.0,1.0
154726f1d96f65a1,154726f1d96f65a1,3.371,2.0,2.0
1ab6eb774f9416f2,1ab6eb774f9416f2,3.1,2.0,1.0
4a4289064cdbdc09,4a4289064cdbdc09,3.4,1.0,2.0
33c5096295ad6e13,33c5096295ad6e13,3.63,1.0,4.0
2c2689aba2638d95,2c2689aba2638d95,3.56,1.0,3.0
724b54dabebd5f65,724b54dabebd5f65,3.091,2.0,4.0
2cf399b1e4b8218b,2cf399b1e4b8218b,3.57,2.0,4.0
57704d5ad8b677c6,57704d5ad8b677c6,,1.0,3.0
353f2cb98f3467b5,353f2cb98f3467b5,3.2,1.0,4.0
8f7e1a35f9425a0e,8f7e1a35f9425a0e,3.26,2.0,2.0
4f612a8708358179,4f612a8708358179,3.126,2.0,5.0
8cdf78ab6a3a812f,8cdf78ab6a3a812f,3.55,2.0,1.0
b382a87f990db71a,b382a87f990db71a,3.757,2.0,2.0
fd8b9815d1fcaf22,fd8b9815d1fcaf22,3.25,1.0,2.0
a067276138a65c6a,a067276138a65c6a,3.093,2.0,1.0
99036510fd96b8f9,99036510fd96b8f9,,3.0,5.0
