Student_Number,P3_Criteria_1_Accuracy,P3_Criteria_2_Analysis,P3_Criteria_3_Organization,P3_Criteria_4_Clarity,P3_Criteria_5_Professionalism,P3_Total_Score,P3_Grade,P3_Hallucination,P3_Notes,Time_Spent_Assignment_3,Group,AI_Condition,P3_Productivity
7eb33ecb29043786,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,120.0,B,Vincent,0.20833333333333334
7d228f6d656337bb,7.0,6.0,7.0,7.0,7.0,34.0,A,,,20.0,B,Vincent,1.7
cdb181d570ee13d8,4.0,5.0,5.0,5.0,6.0,25.0,B+,,,119.0,A,GPT 01,0.21008403361344538
1a20cabcd1a8d41b,,,,,,,,,,,C,No AI,
e58dc153e9c0e8e4,5.0,3.0,3.0,5.0,3.0,19.0,B,,,120.0,C,No AI,0.15833333333333333
f719e16be770c0b8,6.0,4.0,6.0,5.0,6.0,27.0,B+,,,60.0,A,GPT 01,0.45
43f61b7cd08cc6c4,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,110.0,C,No AI,0.2636363636363636
078cae7e345937f3,4.0,4.0,6.0,6.0,6.0,26.0,B+,,,120.0,A,GPT 01,0.21666666666666667
8a1109561512c218,4.0,3.0,5.0,5.0,5.0,22.0,B,,,85.0,C,No AI,0.25882352941176473
f418aa093c4203e9,4.0,2.0,4.0,3.0,4.0,17.0,B-,,hallucinations - made up case,95.0,A,GPT 01,0.17894736842105263
2657ee4bf9f4af9e,6.0,5.0,5.0,6.0,6.0,28.0,A-,,,26.0,B,Vincent,1.0769230769230769
aa1baebc4a1d7593,5.0,4.0,6.0,6.0,6.0,27.0,B+,,,60.0,C,No AI,0.45
191cebe1180b87c5,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,105.0,B,Vincent,0.2761904761904762
57704d5ad8b677c6,,,,,,,,,,,A,GPT 01,
66f7ab8e6000f22a,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,88.0,A,GPT 01,0.3522727272727273
61cf76867144f7f2,4.0,4.0,5.0,5.0,3.0,21.0,B,,,120.0,C,No AI,0.175
8a8a16cd60695e63,5.0,4.0,6.0,6.0,6.0,27.0,B+,,,80.0,C,No AI,0.3375
8917388e20196b3b,4.0,4.0,4.0,5.0,5.0,22.0,B,,,40.0,A,GPT 01,0.55
4a4289064cdbdc09,,,,,,,,,,,A,GPT 01,
8b9bdb0a143ba05b,2.0,2.0,2.0,3.0,2.0,11.0,C+,,,120.0,C,No AI,0.09166666666666666
2cf399b1e4b8218b,,,,,,,,,,,A,GPT 01,
97fba5cb44daf59a,7.0,5.0,6.0,5.0,6.0,29.0,A-,,,75.0,A,GPT 01,0.38666666666666666
8873cf8f31074e16,7.0,7.0,6.0,6.0,6.0,32.0,A-,,,82.0,A,GPT 01,0.3902439024390244
724b54dabebd5f65,,,,,,,,,,,A,GPT 01,
4b83c41e5327c306,,,,,,,,,,,B,Vincent,
430c3b797887e240,5.0,4.0,4.0,4.0,5.0,22.0,B,,,60.0,A,GPT 01,0.36666666666666664
33801e2d42ffddfc,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,120.0,A,GPT 01,0.225
7dd7e803832f1b53,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,73.0,B,Vincent,0.3561643835616438
8e8ec402ff41e278,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,60.0,A,GPT 01,0.5166666666666667
29041031c3d5738c,5.0,4.0,4.0,5.0,4.0,22.0,B,,,120.0,C,No AI,0.18333333333333332
1f60b1ad89313d0d,5.0,4.0,4.0,4.0,5.0,22.0,B,,,72.0,B,Vincent,0.3055555555555556
421124a6a4ec2792,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,60.0,B,Vincent,0.5166666666666667
26f3d54698dd2636,5.0,5.0,6.0,5.0,5.0,26.0,B+,,,109.0,B,Vincent,0.23853211009174313
f3e93859c85d9caf,5.0,4.0,4.0,4.0,5.0,22.0,B,,,75.0,A,GPT 01,0.29333333333333333
7fb6a95e77f2886e,2.0,0.0,2.0,1.0,2.0,7.0,C,,,30.0,A,GPT 01,0.23333333333333334
069503ef9c782673,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,65.0,B,Vincent,0.38461538461538464
4145e4dd01e45431,7.0,6.0,7.0,7.0,7.0,34.0,A,,,113.0,A,GPT 01,0.3008849557522124
a6a04fd22939f38a,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,45.0,B,Vincent,0.5555555555555556
237698639e9c4d30,4.0,3.0,3.0,4.0,4.0,18.0,B,,,85.0,A,GPT 01,0.21176470588235294
2da3540d563c6034,7.0,7.0,6.0,6.0,6.0,32.0,A-,,,79.0,A,GPT 01,0.4050632911392405
70204533c2ea64a7,,,,,,,,,,,C,No AI,
f9afd8e31ee8a875,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,40.0,A,GPT 01,0.65
e08dd06e4e008462,7.0,5.0,6.0,6.0,5.0,29.0,A-,,,75.0,C,No AI,0.38666666666666666
5e4dc1276a5cbfd1,7.0,6.0,6.0,7.0,5.0,31.0,A-,,,80.0,C,No AI,0.3875
de22252a67fcc399,7.0,7.0,7.0,6.0,7.0,34.0,A,,,113.0,C,No AI,0.3008849557522124
c93c749489f4cc74,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,120.0,A,GPT 01,0.25
63f3737ed386432b,5.0,3.0,5.0,5.0,6.0,24.0,B+,,,80.0,B,Vincent,0.3
fd8b9815d1fcaf22,,,,,,,,,,,C,No AI,
22357cb4b713c556,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,27.0,A,GPT 01,0.9629629629629629
632e8584adc40b35,4.0,5.0,4.0,4.0,5.0,22.0,B,,,120.0,C,No AI,0.18333333333333332
b066caa360c869a0,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,110.0,A,GPT 01,0.24545454545454545
eb817297c2e6d83a,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,100.0,C,No AI,0.31
17a215d736ecc60d,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,49.0,B,Vincent,0.5510204081632653
154726f1d96f65a1,,,,,,,,,,,C,No AI,
69d5d27764fbbaac,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,93.0,B,Vincent,0.27956989247311825
3088c17c41bb79cf,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,118.0,A,GPT 01,0.2457627118644068
4f612a8708358179,,,,,,,,,,,A,GPT 01,
8c09cd568a2f07d6,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,56.0,B,Vincent,0.48214285714285715
8944194b2121b319,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,45.0,B,Vincent,0.5777777777777777
75bfae39ea7d8d5b,5.0,5.0,6.0,5.0,5.0,26.0,B+,,,36.0,B,Vincent,0.7222222222222222
17ca821110ac1fa2,4.0,4.0,5.0,6.0,3.0,22.0,B,,,120.0,C,No AI,0.18333333333333332
99036510fd96b8f9,,,,,,,,,,,B,Vincent,
422317341c3e815e,6.0,5.0,6.0,5.0,5.0,27.0,B+,,,120.0,B,Vincent,0.225
e74d00befb08510a,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,60.0,B,Vincent,0.4166666666666667
d64f01781e54567f,6.0,5.0,7.0,5.0,7.0,30.0,A-,,,120.0,B,Vincent,0.25
1ab6eb774f9416f2,,,,,,,,,,,A,GPT 01,
0fa325208d547822,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,30.0,B,Vincent,0.9
d1082f98da60718d,4.0,4.0,4.0,5.0,5.0,22.0,B,,,50.0,B,Vincent,0.44
f91d96f422d5707e,5.0,4.0,4.0,5.0,4.0,22.0,B,,,75.0,A,GPT 01,0.29333333333333333
05c223da1342eb22,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,60.0,B,Vincent,0.5
15947270bb099c07,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,25.0,A,GPT 01,1.04
eb0657499c70202f,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,115.0,A,GPT 01,0.23478260869565218
0534f6d47f4a21f6,4.0,4.0,5.0,6.0,6.0,25.0,B+,,,101.0,C,No AI,0.24752475247524752
11d471df43205dfb,4.0,4.0,4.0,5.0,5.0,22.0,B,,,83.0,C,No AI,0.26506024096385544
e0a9f0ffff131843,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,120.0,C,No AI,0.25
b0eea11d8aa104e7,6.0,4.0,4.0,5.0,3.0,22.0,B,,,120.0,C,No AI,0.18333333333333332
22eaed27a6a72a3c,5.0,4.0,6.0,5.0,6.0,26.0,B+,,,100.0,C,No AI,0.26
d8bb952342c588bb,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,60.0,B,Vincent,0.43333333333333335
bf1a26353df9965e,5.0,4.0,4.0,4.0,5.0,22.0,B,,,33.0,B,Vincent,0.6666666666666666
09c545b24ffb476e,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,56.0,A,GPT 01,0.4642857142857143
a40efe211e46e49a,5.0,4.0,4.0,4.0,5.0,22.0,B,,,39.0,A,GPT 01,0.5641025641025641
7384d11c263ac7d9,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,85.0,A,GPT 01,0.36470588235294116
9e2e00fa7c285ff5,4.0,2.0,3.0,4.0,3.0,16.0,B-,,,120.0,C,No AI,0.13333333333333333
eab55a7284651fe8,5.0,4.0,5.0,6.0,6.0,26.0,B+,,,80.0,C,No AI,0.325
fc7f934bbaf5bcc5,5.0,5.0,5.0,5.0,6.0,26.0,B+,,,120.0,C,No AI,0.21666666666666667
eb6be2f6ae0e29b1,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,95.0,C,No AI,0.30526315789473685
98bd1346a5fce77b,4.0,5.0,6.0,6.0,5.0,26.0,B+,,,82.0,B,Vincent,0.3170731707317073
a067276138a65c6a,,,,,,,,,,,C,No AI,
