Student_Number,P4_Criteria_1_Accuracy,P4_Criteria_2_Analysis,P4_Criteria_3_Organization,P4_Criteria_4_Clarity,P4_Criteria_5_Professionalism,P4_Total_Score,P4_Grade,P4_Hallucination,P4_Notes,Time_Spent_Assignment_4,Group,AI_Condition,P4_Productivity
2657ee4bf9f4af9e,3.0,3.0,3.0,3.0,2.0,14.0,B-,,,95.0,B,GPT 01,0.1473684210526315
aa1baebc4a1d7593,7.0,6.0,6.0,5.0,7.0,31.0,A-,,,60.0,C,Vincent,0.5166666666666667
191cebe1180b87c5,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,55.0,B,GPT 01,0.4909090909090909
66f7ab8e6000f22a,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,173.0,A,No AI,0.1445086705202312
61cf76867144f7f2,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,123.0,C,Vincent,0.2195121951219512
8a8a16cd60695e63,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,150.0,C,Vincent,0.1733333333333333
8917388e20196b3b,7.0,6.0,6.0,6.0,6.0,31.0,A-,,,60.0,A,No AI,0.5166666666666667
8b9bdb0a143ba05b,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,150.0,C,Vincent,0.18
97fba5cb44daf59a,5.0,4.0,4.0,4.0,5.0,22.0,B,,,85.0,A,No AI,0.2588235294117647
8873cf8f31074e16,5.0,3.0,5.0,4.0,4.0,21.0,B,,,119.0,A,No AI,0.1764705882352941
430c3b797887e240,3.0,2.0,2.0,2.0,3.0,12.0,C,,,120.0,A,No AI,0.1
33801e2d42ffddfc,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,90.0,A,No AI,0.3
7dd7e803832f1b53,6.0,5.0,5.0,5.0,7.0,28.0,A-,,,167.0,B,GPT 01,0.1676646706586826
8e8ec402ff41e278,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,55.0,A,No AI,0.4909090909090909
29041031c3d5738c,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,180.0,C,Vincent,0.1722222222222222
1f60b1ad89313d0d,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,75.0,B,GPT 01,0.3466666666666667
421124a6a4ec2792,5.0,4.0,4.0,4.0,3.0,20.0,B,,,60.0,B,GPT 01,0.3333333333333333
26f3d54698dd2636,6.0,4.0,4.0,4.0,3.0,21.0,B,,,130.0,B,GPT 01,0.1615384615384615
f3e93859c85d9caf,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,23.0,A,No AI,1.0869565217391304
7fb6a95e77f2886e,6.0,6.0,6.0,6.0,6.0,30.0,A-,,,65.0,A,No AI,0.4615384615384615
069503ef9c782673,5.0,4.0,5.0,6.0,5.0,25.0,B+,,,75.0,B,GPT 01,0.3333333333333333
4145e4dd01e45431,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,130.0,A,No AI,0.1923076923076923
a6a04fd22939f38a,5.0,3.0,4.0,4.0,4.0,20.0,B,,,90.0,B,GPT 01,0.2222222222222222
237698639e9c4d30,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,55.0,A,No AI,0.4909090909090909
2da3540d563c6034,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,54.0,A,No AI,0.5
f9afd8e31ee8a875,5.0,4.0,4.0,4.0,5.0,22.0,B,,,40.0,A,No AI,0.55
e08dd06e4e008462,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,60.0,C,Vincent,0.5166666666666667
5e4dc1276a5cbfd1,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,19.0,C,Vincent,1.631578947368421
de22252a67fcc399,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,113.0,C,Vincent,0.2654867256637168
c93c749489f4cc74,6.0,5.0,5.0,5.0,5.0,26.0,B+,,,134.0,A,No AI,0.1940298507462686
63f3737ed386432b,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,50.0,B,GPT 01,0.54
22357cb4b713c556,5.0,4.0,4.0,5.0,4.0,22.0,B,,,32.0,A,No AI,0.6875
b066caa360c869a0,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,140.0,A,No AI,0.1928571428571428
eb817297c2e6d83a,7.0,6.0,6.0,5.0,7.0,31.0,A-,,,102.0,C,Vincent,0.3039215686274509
17a215d736ecc60d,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,121.0,B,GPT 01,0.2231404958677686
69d5d27764fbbaac,5.0,4.0,5.0,5.0,3.0,22.0,B,,,27.0,B,GPT 01,0.8148148148148148
3088c17c41bb79cf,6.0,4.0,4.0,5.0,6.0,25.0,B+,,,87.0,A,No AI,0.2873563218390804
8c09cd568a2f07d6,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,52.0,B,GPT 01,0.5192307692307693
8944194b2121b319,6.0,5.0,4.0,4.0,6.0,25.0,B+,,,85.0,B,GPT 01,0.2941176470588235
75bfae39ea7d8d5b,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,68.0,B,GPT 01,0.3970588235294117
17ca821110ac1fa2,7.0,5.0,5.0,6.0,7.0,30.0,A-,,,42.0,C,Vincent,0.7142857142857143
422317341c3e815e,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,150.0,B,GPT 01,0.18
e74d00befb08510a,6.0,5.0,5.0,6.0,5.0,27.0,B+,,,150.0,B,GPT 01,0.18
d64f01781e54567f,5.0,5.0,6.0,6.0,5.0,27.0,B+,,,107.0,B,GPT 01,0.2523364485981308
0fa325208d547822,5.0,4.0,4.0,4.0,4.0,21.0,B,,,13.0,B,GPT 01,1.6153846153846154
d1082f98da60718d,5.0,4.0,3.0,3.0,4.0,19.0,B,,,180.0,B,GPT 01,0.1055555555555555
f91d96f422d5707e,5.0,5.0,4.0,5.0,6.0,25.0,B+,,,90.0,A,No AI,0.2777777777777778
05c223da1342eb22,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,53.0,B,GPT 01,0.5094339622641509
15947270bb099c07,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,16.0,A,No AI,1.6875
eb0657499c70202f,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,117.0,A,No AI,0.2136752136752136
0534f6d47f4a21f6,5.0,5.0,6.0,6.0,5.0,27.0,B+,,,146.0,C,Vincent,0.184931506849315
11d471df43205dfb,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,156.0,C,Vincent,0.1923076923076923
e0a9f0ffff131843,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,102.0,C,Vincent,0.2647058823529412
b0eea11d8aa104e7,6.0,5.0,6.0,6.0,6.0,29.0,A-,,,168.0,C,Vincent,0.1726190476190476
22eaed27a6a72a3c,5.0,5.0,5.0,5.0,5.0,25.0,B+,,,150.0,C,Vincent,0.1666666666666666
d8bb952342c588bb,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,60.0,B,GPT 01,0.45
bf1a26353df9965e,6.0,5.0,5.0,5.0,6.0,27.0,B+,,,52.0,B,GPT 01,0.5192307692307693
09c545b24ffb476e,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,45.0,A,No AI,0.6666666666666666
a40efe211e46e49a,6.0,4.0,5.0,6.0,6.0,27.0,B+,,,56.0,A,No AI,0.4821428571428571
7384d11c263ac7d9,5.0,4.0,6.0,6.0,6.0,27.0,B+,,,95.0,A,No AI,0.2842105263157894
9e2e00fa7c285ff5,5.0,4.0,4.0,5.0,4.0,22.0,B,,,20.0,C,Vincent,1.1
eab55a7284651fe8,5.0,4.0,3.0,4.0,5.0,21.0,B,,,60.0,C,Vincent,0.35
fc7f934bbaf5bcc5,6.0,5.0,4.0,5.0,6.0,26.0,B+,,,75.0,C,Vincent,0.3466666666666667
eb6be2f6ae0e29b1,5.0,4.0,5.0,6.0,5.0,25.0,B+,,,60.0,C,Vincent,0.4166666666666667
98bd1346a5fce77b,6.0,6.0,5.0,6.0,7.0,30.0,A-,,,70.0,B,GPT 01,0.4285714285714285
