Student_Number,P1_Criteria_1_Accuracy,P1_Criteria_2_Analysis,P1_Criteria_3_Organization,P1_Criteria_4_Clarity,P1_Criteria_5_Professionalism,P1_Total_Score,P1_Grade,P1_Hallucination,P1_Hallucination_Note,P1_Notes,Time_Spent_Assignment_1,Group,AI_Condition,P1_Productivity
9ee9f3b5b5934e01,1.0,1.0,2.0,4.0,2.0,10.0,A-,,,,42.0,B,GPT 01,0.238095238095238
af90ee0cf16ffd33,6.0,6.0,7.0,6.0,7.0,32.0,A-,,,,60.0,C,Vincent,0.5333333333333333
ce5032424903d61d,1.0,3.0,4.0,5.0,2.0,15.0,B-,,,,33.0,B,GPT 01,0.4545454545454545
1d27419a27bc132a,4.0,5.0,6.0,6.0,7.0,28.0,A- ,,,,35.0,B,GPT 01,0.8
68c3cbbda9ab9909,3.0,3.0,4.0,3.0,5.0,18.0,B ,,,,60.0,B,GPT 01,0.3
475d59d3b81d4bac,1.0,2.0,2.0,2.0,3.0,10.0,C+,,,,50.0,A,No AI,0.2
ef03ab8ccbaa668b,2.0,3.0,2.0,2.0,1.0,10.0,C+,,,,60.0,C,Vincent,0.1666666666666666
dd5b4506ccb8edff,2.0,2.0,2.0,4.0,6.0,16.0,B-,,,,55.0,B,GPT 01,0.2909090909090909
2cd520fd07667404,1.0,2.0,4.0,6.0,6.0,19.0,B ,,,,17.0,B,GPT 01,1.1176470588235294
e5515ac0c0f126c6,1.0,1.0,1.0,3.0,2.0,8.0,C+,,,,28.0,A,No AI,0.2857142857142857
7eb33ecb29043786,3.0,5.0,4.0,6.0,5.0,23.0,B+,,,,27.0,B,GPT 01,0.8518518518518519
7d228f6d656337bb,1.0,1.0,3.0,6.0,1.0,12.0,C+,,,,39.0,B,GPT 01,0.3076923076923077
cdb181d570ee13d8,2.0,2.0,2.0,3.0,2.0,11.0,C+,,,,59.0,A,No AI,0.1864406779661017
1a20cabcd1a8d41b,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,,59.0,C,Vincent,0.5254237288135594
e58dc153e9c0e8e4,4.0,5.0,5.0,5.0,7.0,26.0,B+,,,,52.0,C,Vincent,0.5
f719e16be770c0b8,1.0,1.0,3.0,3.0,2.0,10.0,C+,,,,45.0,A,No AI,0.2222222222222222
43f61b7cd08cc6c4,5.0,5.0,5.0,6.0,6.0,27.0,B+,,,,58.0,C,Vincent,0.4655172413793103
078cae7e345937f3,4.0,4.0,5.0,4.0,5.0,22.0,B,,,,37.0,A,No AI,0.5945945945945946
8a1109561512c218,3.0,4.0,4.0,4.0,4.0,19.0,B ,,,,35.0,C,Vincent,0.5428571428571428
f418aa093c4203e9,1.0,1.0,1.0,1.0,1.0,5.0,C ,,,,60.0,A,No AI,0.0833333333333333
2657ee4bf9f4af9e,5.0,5.0,6.0,6.0,7.0,29.0,A-,,,,35.0,B,GPT 01,0.8285714285714286
aa1baebc4a1d7593,6.0,6.0,7.0,7.0,7.0,33.0,A ,,,,40.0,C,Vincent,0.825
191cebe1180b87c5,3.0,4.0,5.0,6.0,6.0,24.0,B+, ,,,56.0,B,GPT 01,0.4285714285714285
66f7ab8e6000f22a,1.0,3.0,4.0,2.0,3.0,13.0,B-,,,,60.0,A,No AI,0.2166666666666666
61cf76867144f7f2,1.0,2.0,4.0,4.0,2.0,13.0,B-,,,,45.0,C,Vincent,0.2888888888888888
8a8a16cd60695e63,2.0,3.0,4.0,5.0,5.0,19.0,B ,,,,40.0,C,Vincent,0.475
8917388e20196b3b,4.0,4.0,5.0,6.0,6.0,25.0,B+,,,,55.0,A,No AI,0.4545454545454545
8b9bdb0a143ba05b,1.0,3.0,4.0,6.0,3.0,17.0,B-,,,,44.0,C,Vincent,0.3863636363636363
97fba5cb44daf59a,4.0,5.0,5.0,4.0,5.0,23.0,B+,,,,52.0,A,No AI,0.4423076923076923
8873cf8f31074e16,3.0,3.0,4.0,3.0,3.0,16.0,B-,,,,57.0,A,No AI,0.2807017543859649
724b54dabebd5f65,4.0,4.0,5.0,5.0,3.0,21.0,B,,,,,A,No AI,
4b83c41e5327c306,2.0,3.0,3.0,3.0,5.0,16.0,B-,1,"1) Hawkinson v. Montoya, 830 F. Supp. 2d 1066 (D. Colo. 2011) (Several decisions with that case name exist, but none in 2011 and not at that citation. 830 F.Supp.2d 1066 points to the middle of a 2011 D.Idaho case Rhoades v. Reinke. 2) Koch v. Koch Industries, Inc., 203 F.3d 1202 (10th Cir. 2000) is cited as referencing Kansas law on absolute privilege, but that term (or concept) does not appear in the opinion. ",,60.0,B,GPT 01,0.2666666666666666
430c3b797887e240,1.0,2.0,1.0,2.0,1.0,7.0,C,,,,32.0,A,No AI,0.21875
33801e2d42ffddfc,2.0,3.0,4.0,5.0,5.0,19.0,B,,,,60.0,A,No AI,0.3166666666666666
7dd7e803832f1b53,1.0,2.0,4.0,5.0,4.0,16.0,B-,,,,41.0,B,GPT 01,0.3902439024390244
8e8ec402ff41e278,3.0,4.0,5.0,6.0,6.0,24.0,B+,,,,56.0,A,No AI,0.4285714285714285
29041031c3d5738c,4.0,5.0,4.0,6.0,7.0,26.0,B,,,"Weird format, odd non-legal sources, strange tangents, lack of clear citations. Odd.",51.0,C,Vincent,0.5098039215686274
1f60b1ad89313d0d,3.0,4.0,5.0,6.0,6.0,24.0,B+,,,,36.0,B,GPT 01,0.6666666666666666
421124a6a4ec2792,2.0,2.0,5.0,6.0,6.0,21.0,B,1,"Cited case does not appear to exist: Geigle v. Denver Metro. Convention & Visitors Bureau, 952 F.2d 1170 (10th Cir.
1991). That cite "" 952 F.2d 1170"" points to U.S. v. Hall, a 1991 9th Circuit criminal sentencing appeal. No case with that name could be located.",,20.0,B,GPT 01,1.05
26f3d54698dd2636,2.0,2.0,4.0,5.0,5.0,18.0,B,,,,43.0,B,GPT 01,0.4186046511627907
f3e93859c85d9caf,1.0,1.0,3.0,3.0,1.0,9.0,C+,,,,53.0,A,No AI,0.1698113207547169
7fb6a95e77f2886e,2.0,2.0,2.0,3.0,2.0,11.0,C+,,,,41.0,A,No AI,0.2682926829268293
069503ef9c782673,3.0,3.0,6.0,6.0,7.0,25.0,B+,,,,36.0,B,GPT 01,0.6944444444444444
4145e4dd01e45431,4.0,5.0,6.0,4.0,7.0,26.0,B+,,,,50.0,A,No AI,0.52
a6a04fd22939f38a,2.0,3.0,6.0,5.0,6.0,22.0,B ,,,,45.0,B,GPT 01,0.4888888888888889
237698639e9c4d30,4.0,5.0,6.0,6.0,6.0,27.0,B+,,,,58.0,A,No AI,0.4655172413793103
2da3540d563c6034,5.0,6.0,6.0,6.0,7.0,30.0,A-,,,,50.0,A,No AI,0.6
70204533c2ea64a7,3.0,3.0,4.0,5.0,5.0,20.0,B,,,"""hit them back""",50.0,C,Vincent,0.4
f9afd8e31ee8a875,3.0,4.0,5.0,5.0,5.0,22.0,B,,,,45.0,A,No AI,0.4888888888888889
e08dd06e4e008462,2.0,3.0,5.0,5.0,6.0,21.0,B,,,,26.0,C,Vincent,0.8076923076923077
5e4dc1276a5cbfd1,1.0,2.0,2.0,3.0,2.0,10.0,C+,,,,50.0,C,Vincent,0.2
de22252a67fcc399,4.0,5.0,6.0,7.0,6.0,28.0,A-,,,,54.0,C,Vincent,0.5185185185185185
c93c749489f4cc74,6.0,6.0,6.0,6.0,7.0,31.0,A-,,,,53.0,A,No AI,0.5849056603773585
63f3737ed386432b,4.0,5.0,5.0,5.0,7.0,26.0,B+,,,,60.0,B,GPT 01,0.4333333333333333
22357cb4b713c556,5.0,5.0,5.0,4.0,6.0,25.0,B+,,,,23.0,A,No AI,1.0869565217391304
632e8584adc40b35,3.0,4.0,5.0,5.0,6.0,23.0,B+,,,,52.0,C,Vincent,0.4423076923076923
b066caa360c869a0,1.0,2.0,3.0,3.0,4.0,13.0,B-,,,,45.0,A,No AI,0.2888888888888888
eb817297c2e6d83a,6.0,5.0,5.0,6.0,7.0,29.0,A-,,,,37.0,C,Vincent,0.7837837837837838
17a215d736ecc60d,2.0,3.0,3.0,5.0,7.0,20.0,B,,,,47.0,B,GPT 01,0.425531914893617
69d5d27764fbbaac,5.0,5.0,5.0,5.0,7.0,27.0,B+,,,,42.0,B,GPT 01,0.6428571428571429
3088c17c41bb79cf,1.0,1.0,2.0,2.0,1.0,7.0,C,,,MN law; wrong context,46.0,A,No AI,0.1521739130434782
8c09cd568a2f07d6,2.0,3.0,4.0,3.0,3.0,15.0,B-,,,,40.0,B,GPT 01,0.375
8944194b2121b319,2.0,3.0,5.0,5.0,7.0,22.0,B,,,,43.0,B,GPT 01,0.5116279069767442
75bfae39ea7d8d5b,3.0,5.0,5.0,7.0,6.0,26.0,B+,,,,54.0,B,GPT 01,0.4814814814814814
17ca821110ac1fa2,4.0,5.0,5.0,6.0,7.0,27.0,B+,,,,43.0,C,Vincent,0.627906976744186
422317341c3e815e,5.0,5.0,5.0,4.0,6.0,25.0,B+,,,,35.0,B,GPT 01,0.7142857142857143
e74d00befb08510a,2.0,2.0,3.0,5.0,6.0,18.0,B,,,,50.0,B,GPT 01,0.36
d64f01781e54567f,2.0,2.0,4.0,4.0,5.0,17.0,B-,,,,49.0,B,GPT 01,0.3469387755102041
0fa325208d547822,1.0,2.0,3.0,3.0,3.0,12.0,C+,,,,25.0,B,GPT 01,0.48
d1082f98da60718d,2.0,3.0,4.0,4.0,5.0,18.0,B ,,,,50.0,B,GPT 01,0.36
f91d96f422d5707e,2.0,3.0,3.0,4.0,5.0,17.0,B-,,,,35.0,A,No AI,0.4857142857142857
05c223da1342eb22,3.0,4.0,5.0,5.0,7.0,24.0,B+,,,,43.0,B,GPT 01,0.5581395348837209
15947270bb099c07,6.0,6.0,6.0,5.0,7.0,30.0,A-,,,,51.0,A,No AI,0.5882352941176471
eb0657499c70202f,6.0,5.0,6.0,6.0,7.0,30.0,A-,,,,58.0,A,No AI,0.5172413793103449
0534f6d47f4a21f6,2.0,3.0,5.0,6.0,5.0,21.0,B,,,,51.0,C,Vincent,0.4117647058823529
11d471df43205dfb,1.0,2.0,3.0,3.0,3.0,12.0,C+,,,,47.0,C,Vincent,0.2553191489361702
e0a9f0ffff131843,5.0,5.0,4.0,6.0,7.0,27.0,A-,,,,47.0,C,Vincent,0.574468085106383
b0eea11d8aa104e7,4.0,4.0,5.0,5.0,4.0,22.0,B,,,,34.0,C,Vincent,0.6470588235294118
d8bb952342c588bb,2.0,2.0,4.0,4.0,5.0,17.0,B-,,,,60.0,B,GPT 01,0.2833333333333333
bf1a26353df9965e,5.0,6.0,6.0,6.0,7.0,30.0,A-,,,,58.0,B,GPT 01,0.5172413793103449
09c545b24ffb476e,4.0,5.0,5.0,4.0,5.0,23.0,B+,,,,45.0,A,No AI,0.5111111111111111
a40efe211e46e49a,4.0,5.0,4.0,3.0,3.0,19.0,B,,,,59.0,A,No AI,0.3220338983050847
7384d11c263ac7d9,3.0,5.0,5.0,4.0,5.0,22.0,B,,,,57.0,A,No AI,0.3859649122807017
9e2e00fa7c285ff5,3.0,5.0,4.0,4.0,3.0,19.0,B,,,,15.0,C,Vincent,1.2666666666666666
eab55a7284651fe8,2.0,3.0,5.0,6.0,3.0,19.0,B,,,,15.0,C,Vincent,1.2666666666666666
fc7f934bbaf5bcc5,2.0,2.0,2.0,5.0,2.0,13.0,C+,,,,45.0,C,Vincent,0.2888888888888888
eb6be2f6ae0e29b1,3.0,3.0,5.0,5.0,3.0,19.0,B,,,,30.0,C,Vincent,0.6333333333333333
98bd1346a5fce77b,1.0,4.0,4.0,6.0,4.0,19.0,B,,,,52.0,B,GPT 01,0.3653846153846153
