Student_Number,Task1_Score,Task1_Productivity,Task1_AI_Condition,Task2_Score,Task2_Productivity,Task2_AI_Condition,Task3_Score,Task3_Productivity,Task3_AI_Condition,Task4_Score,Task4_Productivity,Task4_AI_Condition,Task5_Score,Task5_Productivity,Task5_AI_Condition,Task6_Score,Task6_Productivity,Task6_AI_Condition
e58dc153e9c0e8e4,26.0,0.5,Vincent,27.0,0.1384615384615384,GPT 01,19.0,0.1583333333333333,No AI,26.0,0.1635220125786163,Vincent,25.0,0.2717391304347826,GPT 01,15.0,0.125,No AI
7e107a9c0ebdc482,32.0,0.5714285714285714,Vincent,29.0,0.1757575757575757,GPT 01,33.0,0.2796610169491525,No AI,27.0,0.4821428571428571,Vincent,30.0,0.4285714285714285,GPT 01,34.0,0.2266666666666666,No AI
a6a04fd22939f38a,22.0,0.4888888888888889,GPT 01,11.0,0.0733333333333333,No AI,25.0,0.5555555555555556,Vincent,20.0,0.2222222222222222,GPT 01,8.0,0.1333333333333333,No AI,11.0,0.7333333333333333,Vincent
02a6298460b477ce,18.0,0.3,GPT 01,20.0,0.1169590643274853,No AI,25.0,0.2083333333333333,Vincent,30.0,0.3092783505154639,GPT 01,20.0,0.1492537313432835,No AI,8.0,0.0533333333333333,Vincent
3088c17c41bb79cf,7.0,0.1521739130434782,No AI,22.0,0.1301775147928994,Vincent,29.0,0.2457627118644068,GPT 01,25.0,0.2873563218390804,No AI,24.0,0.5714285714285714,Vincent,22.0,0.1818181818181818,GPT 01
29041031c3d5738c,26.0,0.5098039215686274,Vincent,21.0,0.1721311475409836,GPT 01,22.0,0.1833333333333333,No AI,31.0,0.1722222222222222,Vincent,17.0,0.1133333333333333,GPT 01,6.0,0.04,No AI
f91d96f422d5707e,17.0,0.4857142857142857,No AI,18.0,0.109090909090909,Vincent,22.0,0.2933333333333333,GPT 01,25.0,0.2777777777777778,No AI,17.0,0.2615384615384615,Vincent,28.0,0.2153846153846154,GPT 01
237698639e9c4d30,27.0,0.4655172413793103,No AI,11.0,0.0666666666666666,Vincent,18.0,0.2117647058823529,GPT 01,27.0,0.4909090909090909,No AI,3.0,0.0461538461538461,Vincent,24.0,0.24,GPT 01
75bfae39ea7d8d5b,26.0,0.4814814814814814,GPT 01,20.0,0.136986301369863,No AI,26.0,0.7222222222222222,Vincent,27.0,0.3970588235294117,GPT 01,22.0,0.4074074074074074,No AI,16.0,0.7272727272727273,Vincent
4145e4dd01e45431,26.0,0.52,No AI,26.0,0.1818181818181818,Vincent,34.0,0.3008849557522124,GPT 01,25.0,0.1923076923076923,No AI,24.0,0.1702127659574468,Vincent,25.0,0.238095238095238,GPT 01
742df284c8614f30,17.0,0.288135593220339,Vincent,24.0,0.1263157894736842,GPT 01,11.0,0.0916666666666666,No AI,22.0,0.1222222222222222,Vincent,24.0,0.4210526315789473,GPT 01,20.0,0.2150537634408602,No AI
43f61b7cd08cc6c4,27.0,0.4655172413793103,Vincent,27.0,0.1428571428571428,GPT 01,29.0,0.2636363636363636,No AI,29.0,0.5576923076923077,Vincent,28.0,0.3733333333333333,GPT 01,32.0,0.3106796116504854,No AI
0534f6d47f4a21f6,21.0,0.4117647058823529,Vincent,22.0,0.1094527363184079,GPT 01,25.0,0.2475247524752475,No AI,27.0,0.184931506849315,Vincent,20.0,0.1626016260162601,GPT 01,33.0,0.2357142857142857,No AI
3b79cd5d4dc9545c,24.0,0.6857142857142857,Vincent,18.0,0.1651376146788991,GPT 01,26.0,0.26,No AI,27.0,0.675,Vincent,24.0,0.32,GPT 01,13.0,0.203125,No AI
475d59d3b81d4bac,10.0,0.2,No AI,19.0,0.0844444444444444,Vincent,25.0,0.25,GPT 01,27.0,0.1588235294117647,No AI,16.0,0.1333333333333333,Vincent,30.0,0.3333333333333333,GPT 01
7c4f2cdf9a7ba025,33.0,1.65,GPT 01,9.0,0.05,No AI,26.0,1.3,Vincent,22.0,0.7333333333333333,GPT 01,7.0,0.0466666666666666,No AI,8.0,0.1777777777777777,Vincent
5e4dc1276a5cbfd1,10.0,0.2,Vincent,21.0,0.3559322033898305,GPT 01,31.0,0.3875,No AI,31.0,1.631578947368421,Vincent,19.0,0.6785714285714286,GPT 01,9.0,0.3461538461538461,No AI
1f60b1ad89313d0d,24.0,0.6666666666666666,GPT 01,27.0,0.1588235294117647,No AI,22.0,0.3055555555555556,Vincent,26.0,0.3466666666666667,GPT 01,25.0,0.25,No AI,15.0,0.1666666666666666,Vincent
ce5032424903d61d,15.0,0.4545454545454545,GPT 01,13.0,0.065,No AI,27.0,0.3857142857142857,Vincent,27.0,0.2571428571428571,GPT 01,17.0,0.3090909090909091,No AI,12.0,0.1,Vincent
065a189f3e847a38,24.0,0.4,No AI,15.0,0.0625,Vincent,32.0,0.3047619047619048,GPT 01,27.0,0.15,No AI,21.0,0.2142857142857142,Vincent,25.0,0.3086419753086419,GPT 01
9109b13b11fd7782,23.0,0.46,No AI,22.0,0.1116751269035533,Vincent,22.0,0.1833333333333333,GPT 01,26.0,0.3023255813953488,No AI,18.0,0.2686567164179104,Vincent,18.0,0.2142857142857142,GPT 01
e5515ac0c0f126c6,8.0,0.2857142857142857,No AI,16.0,0.1632653061224489,Vincent,25.0,0.5208333333333334,GPT 01,30.0,0.4615384615384615,No AI,17.0,0.1888888888888888,Vincent,13.0,0.2096774193548387,GPT 01
17ca821110ac1fa2,27.0,0.627906976744186,Vincent,24.0,0.1,GPT 01,22.0,0.1833333333333333,No AI,30.0,0.7142857142857143,Vincent,26.0,0.2988505747126437,GPT 01,27.0,0.18,No AI
820ef4cb24626154,31.0,0.62,GPT 01,21.0,0.13125,No AI,21.0,0.3818181818181818,Vincent,33.0,0.388235294117647,GPT 01,20.0,0.2105263157894736,No AI,20.0,0.2666666666666666,Vincent
bfd51df7115d0bee,25.0,0.5952380952380952,GPT 01,25.0,0.1612903225806451,No AI,31.0,0.382716049382716,Vincent,30.0,0.4,GPT 01,15.0,0.2307692307692307,No AI,24.0,0.3582089552238806,Vincent
bf1a26353df9965e,30.0,0.5172413793103449,GPT 01,15.0,0.081967213114754,No AI,22.0,0.6666666666666666,Vincent,27.0,0.5192307692307693,GPT 01,17.0,0.2463768115942029,No AI,17.0,0.6071428571428571,Vincent
26f3d54698dd2636,18.0,0.4186046511627907,GPT 01,20.0,0.0833333333333333,No AI,26.0,0.2385321100917431,Vincent,21.0,0.1615384615384615,GPT 01,7.0,0.0466666666666666,No AI,17.0,0.173469387755102,Vincent
7384d11c263ac7d9,22.0,0.3859649122807017,No AI,19.0,0.1021505376344086,Vincent,31.0,0.3647058823529411,GPT 01,27.0,0.2842105263157894,No AI,28.0,0.4117647058823529,Vincent,30.0,0.2479338842975206,GPT 01
e74d00befb08510a,18.0,0.36,GPT 01,17.0,0.0708333333333333,No AI,25.0,0.4166666666666667,Vincent,27.0,0.18,GPT 01,14.0,0.0933333333333333,No AI,23.0,0.3833333333333333,Vincent
5eb1b92aee244e2a,10.0,0.2702702702702703,No AI,15.0,0.0789473684210526,Vincent,32.0,0.3368421052631579,GPT 01,32.0,0.256,No AI,21.0,0.1875,Vincent,15.0,0.1363636363636363,GPT 01
d64f01781e54567f,17.0,0.3469387755102041,GPT 01,20.0,0.0833333333333333,No AI,30.0,0.25,Vincent,27.0,0.2523364485981308,GPT 01,19.0,0.1310344827586207,No AI,27.0,0.2,Vincent
1bcba07e11b7af99,31.0,0.5636363636363636,GPT 01,27.0,0.1588235294117647,No AI,32.0,0.3764705882352941,Vincent,30.0,0.3333333333333333,GPT 01,15.0,0.1630434782608695,No AI,27.0,0.4909090909090909,Vincent
8a8a16cd60695e63,19.0,0.475,Vincent,19.0,0.1085714285714285,GPT 01,27.0,0.3375,No AI,26.0,0.1733333333333333,Vincent,21.0,0.1555555555555555,GPT 01,30.0,0.2272727272727272,No AI
7fb6a95e77f2886e,11.0,0.2682926829268293,No AI,18.0,0.1636363636363636,Vincent,7.0,0.2333333333333333,GPT 01,30.0,0.4615384615384615,No AI,19.0,0.2375,Vincent,29.0,0.4461538461538462,GPT 01
efbfc0f029c0ac5f,22.0,0.7333333333333333,Vincent,21.0,0.1105263157894736,GPT 01,32.0,0.2666666666666666,No AI,22.0,0.3666666666666666,Vincent,23.0,0.209090909090909,GPT 01,7.0,0.0466666666666666,No AI
1167a8417b14a001,32.0,0.6530612244897959,No AI,19.0,0.4523809523809524,Vincent,27.0,0.6,GPT 01,27.0,0.3068181818181818,No AI,27.0,0.574468085106383,Vincent,25.0,0.3378378378378378,GPT 01
2657ee4bf9f4af9e,29.0,0.8285714285714286,GPT 01,18.0,0.0857142857142857,No AI,28.0,1.0769230769230769,Vincent,14.0,0.1473684210526315,GPT 01,24.0,0.2033898305084746,No AI,15.0,0.7894736842105263,Vincent
2cd520fd07667404,19.0,1.1176470588235294,GPT 01,19.0,0.1583333333333333,No AI,32.0,0.7111111111111111,Vincent,22.0,0.6285714285714286,GPT 01,25.0,0.2083333333333333,No AI,17.0,0.3617021276595745,Vincent
8873cf8f31074e16,16.0,0.2807017543859649,No AI,21.0,0.1981132075471698,Vincent,32.0,0.3902439024390244,GPT 01,21.0,0.1764705882352941,No AI,23.0,0.2555555555555555,Vincent,25.0,0.238095238095238,GPT 01
8b3794f02b5e4db5,23.0,1.4375,Vincent,22.0,0.102803738317757,GPT 01,26.0,0.2203389830508474,No AI,25.0,0.5813953488372093,Vincent,27.0,0.7297297297297297,GPT 01,12.0,0.1481481481481481,No AI
9be12b158467797d,25.0,0.6944444444444444,Vincent,27.0,0.225,GPT 01,25.0,0.25,No AI,27.0,0.675,Vincent,16.0,0.3555555555555555,GPT 01,16.0,0.1684210526315789,No AI
66f7ab8e6000f22a,13.0,0.2166666666666666,No AI,24.0,0.1008403361344537,Vincent,31.0,0.3522727272727273,GPT 01,25.0,0.1445086705202312,No AI,25.0,0.2016129032258064,Vincent,27.0,0.2755102040816326,GPT 01
3d53c1b0295b9a26,17.0,0.2833333333333333,No AI,17.0,0.1416666666666666,Vincent,31.0,0.3444444444444444,GPT 01,27.0,0.225,No AI,21.0,0.525,Vincent,28.0,0.3111111111111111,GPT 01
dd5b4506ccb8edff,16.0,0.2909090909090909,GPT 01,21.0,0.14,No AI,27.0,0.225,Vincent,27.0,0.1636363636363636,GPT 01,17.0,0.1133333333333333,No AI,19.0,0.1583333333333333,Vincent
069503ef9c782673,25.0,0.6944444444444444,GPT 01,22.0,0.1,No AI,25.0,0.3846153846153846,Vincent,25.0,0.3333333333333333,GPT 01,22.0,0.1571428571428571,No AI,26.0,0.2524271844660194,Vincent
7d228f6d656337bb,12.0,0.3076923076923077,GPT 01,21.0,0.1981132075471698,No AI,34.0,1.7,Vincent,27.0,0.75,GPT 01,18.0,0.75,No AI,10.0,0.1162790697674418,Vincent
f719e16be770c0b8,10.0,0.2222222222222222,No AI,11.0,0.0611111111111111,Vincent,27.0,0.45,GPT 01,31.0,0.5166666666666667,No AI,8.0,0.1333333333333333,Vincent,21.0,0.35,GPT 01
8e8ec402ff41e278,24.0,0.4285714285714285,No AI,29.0,0.18125,Vincent,31.0,0.5166666666666667,GPT 01,27.0,0.4909090909090909,No AI,25.0,0.4545454545454545,Vincent,26.0,0.2476190476190476,GPT 01
078cae7e345937f3,22.0,0.5945945945945946,No AI,13.0,0.0541666666666666,Vincent,26.0,0.2166666666666666,GPT 01,29.0,0.2230769230769231,No AI,18.0,0.15,Vincent,17.0,0.2266666666666666,GPT 01
f418aa093c4203e9,5.0,0.0833333333333333,No AI,11.0,0.056701030927835,Vincent,17.0,0.1789473684210526,GPT 01,27.0,0.3375,No AI,19.0,0.1881188118811881,Vincent,14.0,0.0992907801418439,GPT 01
de22252a67fcc399,28.0,0.5185185185185185,Vincent,19.0,0.106145251396648,GPT 01,34.0,0.3008849557522124,No AI,30.0,0.2654867256637168,Vincent,18.0,0.24,GPT 01,28.0,0.1866666666666666,No AI
97fba5cb44daf59a,23.0,0.4423076923076923,No AI,20.0,0.16,Vincent,29.0,0.3866666666666666,GPT 01,22.0,0.2588235294117647,No AI,21.0,0.3088235294117647,Vincent,27.0,0.3103448275862069,GPT 01
8a1109561512c218,19.0,0.5428571428571428,Vincent,14.0,0.0838323353293413,GPT 01,22.0,0.2588235294117647,No AI,13.0,0.1,Vincent,25.0,0.1785714285714285,GPT 01,16.0,0.2285714285714285,No AI
422317341c3e815e,25.0,0.7142857142857143,GPT 01,18.0,0.075,No AI,27.0,0.225,Vincent,27.0,0.18,GPT 01,11.0,0.0733333333333333,No AI,12.0,0.08,Vincent
889b30f2a988ff0a,29.0,0.4915254237288136,GPT 01,20.0,0.1058201058201058,No AI,25.0,0.3086419753086419,Vincent,27.0,0.4576271186440678,GPT 01,15.0,0.2830188679245283,No AI,31.0,0.9393939393939394,Vincent
f9afd8e31ee8a875,22.0,0.4888888888888889,No AI,23.0,0.1916666666666666,Vincent,26.0,0.65,GPT 01,22.0,0.55,No AI,14.0,0.3414634146341463,Vincent,25.0,2.5,GPT 01
2bfdab79d93e7bce,20.0,0.6666666666666666,GPT 01,15.0,0.0789473684210526,No AI,31.0,0.4428571428571428,Vincent,22.0,1.1,GPT 01,11.0,0.55,No AI,21.0,1.05,Vincent
eb0657499c70202f,30.0,0.5172413793103449,No AI,24.0,0.1538461538461538,Vincent,27.0,0.2347826086956521,GPT 01,25.0,0.2136752136752136,No AI,20.0,0.2631578947368421,Vincent,33.0,0.358695652173913,GPT 01
4c56c0d8e61ed412,33.0,0.66,Vincent,22.0,0.0948275862068965,GPT 01,31.0,0.2583333333333333,No AI,25.0,0.2272727272727272,Vincent,24.0,0.1967213114754098,GPT 01,29.0,0.25,No AI
a40efe211e46e49a,19.0,0.3220338983050847,No AI,15.0,0.1376146788990825,Vincent,22.0,0.5641025641025641,GPT 01,27.0,0.4821428571428571,No AI,26.0,0.6046511627906976,Vincent,24.0,0.2666666666666666,GPT 01
98bd1346a5fce77b,19.0,0.3653846153846153,GPT 01,22.0,0.1333333333333333,No AI,26.0,0.3170731707317073,Vincent,30.0,0.4285714285714285,GPT 01,20.0,0.2298850574712643,No AI,14.0,0.1590909090909091,Vincent
b342e13cf1dcabea,21.0,0.4883720930232558,Vincent,21.0,0.1014492753623188,GPT 01,20.0,0.1666666666666666,No AI,20.0,0.3076923076923077,Vincent,25.0,0.2941176470588235,GPT 01,19.0,0.1727272727272727,No AI
eb817297c2e6d83a,29.0,0.7837837837837838,Vincent,21.0,0.1458333333333333,GPT 01,31.0,0.31,No AI,31.0,0.3039215686274509,Vincent,22.0,0.2650602409638554,GPT 01,27.0,0.3103448275862069,No AI
2da3540d563c6034,30.0,0.6,No AI,19.0,0.3166666666666666,Vincent,32.0,0.4050632911392405,GPT 01,27.0,0.5,No AI,12.0,0.4285714285714285,Vincent,29.0,0.8285714285714286,GPT 01
8c09cd568a2f07d6,15.0,0.375,GPT 01,5.0,0.0526315789473684,No AI,27.0,0.4821428571428571,Vincent,27.0,0.5192307692307693,GPT 01,17.0,0.2328767123287671,No AI,6.0,0.1538461538461538,Vincent
81703482b559611e,16.0,0.6153846153846154,GPT 01,15.0,0.0914634146341463,No AI,22.0,0.6470588235294118,Vincent,27.0,0.4153846153846154,GPT 01,20.0,0.25,No AI,7.0,0.1296296296296296,Vincent
17a215d736ecc60d,20.0,0.425531914893617,GPT 01,23.0,0.1455696202531645,No AI,27.0,0.5510204081632653,Vincent,27.0,0.2231404958677686,GPT 01,23.0,0.25,No AI,31.0,0.5081967213114754,Vincent
8b9bdb0a143ba05b,17.0,0.3863636363636363,Vincent,16.0,0.1126760563380281,GPT 01,11.0,0.0916666666666666,No AI,27.0,0.18,Vincent,21.0,0.35,GPT 01,17.0,0.1133333333333333,No AI
fc7f934bbaf5bcc5,13.0,0.2888888888888888,Vincent,22.0,0.1788617886178861,GPT 01,26.0,0.2166666666666666,No AI,26.0,0.3466666666666667,Vincent,19.0,0.4222222222222222,GPT 01,15.0,0.1,No AI
191cebe1180b87c5,24.0,0.4285714285714285,GPT 01,8.0,0.0333333333333333,No AI,29.0,0.2761904761904762,Vincent,27.0,0.4909090909090909,GPT 01,13.0,0.0866666666666666,No AI,13.0,0.1382978723404255,Vincent
eab55a7284651fe8,19.0,1.2666666666666666,Vincent,17.0,0.68,GPT 01,26.0,0.325,No AI,21.0,0.35,Vincent,22.0,1.4666666666666666,GPT 01,26.0,0.2166666666666666,No AI
421124a6a4ec2792,21.0,1.05,GPT 01,7.0,0.0291666666666666,No AI,31.0,0.5166666666666667,Vincent,20.0,0.3333333333333333,GPT 01,11.0,0.1466666666666666,No AI,16.0,0.32,Vincent
09c545b24ffb476e,23.0,0.5111111111111111,No AI,16.0,0.0888888888888888,Vincent,26.0,0.4642857142857143,GPT 01,30.0,0.6666666666666666,No AI,16.0,0.1839080459770115,Vincent,23.0,0.3432835820895522,GPT 01
22357cb4b713c556,25.0,1.0869565217391304,No AI,19.0,0.4222222222222222,Vincent,26.0,0.9629629629629628,GPT 01,22.0,0.6875,No AI,25.0,1.6666666666666667,Vincent,22.0,2.75,GPT 01
cdb181d570ee13d8,11.0,0.1864406779661017,No AI,24.0,0.1411764705882353,Vincent,25.0,0.2100840336134453,GPT 01,32.0,0.2285714285714285,No AI,25.0,0.1937984496124031,Vincent,16.0,0.2424242424242424,GPT 01
824bb66524753233,32.0,0.5333333333333333,Vincent,30.0,0.125,GPT 01,17.0,0.1416666666666666,No AI,21.0,1.4,Vincent,15.0,0.1666666666666666,GPT 01,7.0,0.2333333333333333,No AI
1777a66aff697497,26.0,0.4333333333333333,Vincent,27.0,0.1125,GPT 01,22.0,,No AI,26.0,0.1733333333333333,Vincent,26.0,0.1733333333333333,GPT 01,20.0,0.1428571428571428,No AI
d2aff30970fe0d4c,28.0,0.5833333333333334,Vincent,13.0,0.065,GPT 01,14.0,0.1166666666666666,No AI,30.0,0.2542372881355932,Vincent,19.0,0.2794117647058823,GPT 01,28.0,0.2413793103448276,No AI
1d27419a27bc132a,28.0,0.8,GPT 01,18.0,0.0837209302325581,No AI,27.0,0.3698630136986301,Vincent,34.0,0.7555555555555555,GPT 01,14.0,0.0933333333333333,No AI,21.0,0.5833333333333334,Vincent
aa1baebc4a1d7593,33.0,0.825,Vincent,28.0,0.1555555555555555,GPT 01,27.0,0.45,No AI,31.0,0.5166666666666667,Vincent,25.0,0.4166666666666667,GPT 01,23.0,0.2555555555555555,No AI
05c223da1342eb22,24.0,0.5581395348837209,GPT 01,17.0,0.0772727272727272,No AI,30.0,0.5,Vincent,27.0,0.5094339622641509,GPT 01,22.0,0.22,No AI,28.0,0.2545454545454545,Vincent
7dd7e803832f1b53,16.0,0.3902439024390244,GPT 01,16.0,0.0869565217391304,No AI,26.0,0.3561643835616438,Vincent,28.0,0.1676646706586826,GPT 01,19.0,0.1507936507936507,No AI,14.0,0.1037037037037037,Vincent
9e2e00fa7c285ff5,19.0,1.2666666666666666,Vincent,12.0,0.48,GPT 01,16.0,0.1333333333333333,No AI,22.0,1.1,Vincent,20.0,2.0,GPT 01,17.0,0.2266666666666666,No AI
af90ee0cf16ffd33,32.0,0.5333333333333333,Vincent,23.0,0.1654676258992805,GPT 01,27.0,0.225,No AI,26.0,0.3421052631578947,Vincent,25.0,0.3012048192771084,GPT 01,11.0,0.0733333333333333,No AI
7f1b0f735e644984,24.0,0.4363636363636363,GPT 01,24.0,0.1008403361344537,No AI,19.0,0.4222222222222222,Vincent,27.0,0.5625,GPT 01,22.0,0.1864406779661017,No AI,27.0,0.421875,Vincent
63f3737ed386432b,26.0,0.4333333333333333,GPT 01,22.0,0.11,No AI,24.0,0.3,Vincent,27.0,0.54,GPT 01,28.0,0.2333333333333333,No AI,14.0,0.3111111111111111,Vincent
6ec4e59da50d8f3a,19.0,0.475,GPT 01,16.0,0.1333333333333333,No AI,27.0,0.2842105263157894,Vincent,21.0,0.2470588235294117,GPT 01,16.0,0.1720430107526881,No AI,29.0,0.2636363636363636,Vincent
69d5d27764fbbaac,27.0,0.6428571428571429,GPT 01,21.0,0.1039603960396039,No AI,26.0,0.2795698924731182,Vincent,22.0,0.8148148148148148,GPT 01,23.0,0.5476190476190477,No AI,20.0,0.2531645569620253,Vincent
68c3cbbda9ab9909,18.0,0.3,GPT 01,20.0,0.0833333333333333,No AI,32.0,0.3555555555555555,Vincent,25.0,0.1388888888888889,GPT 01,12.0,0.08,No AI,12.0,0.08,Vincent
e0586dd6ba414274,19.0,0.3166666666666666,No AI,26.0,0.1083333333333333,Vincent,31.0,0.2743362831858407,GPT 01,27.0,0.27,No AI,25.0,0.1666666666666666,Vincent,23.0,0.1916666666666666,GPT 01
ddbc5bb6018f9e0f,22.0,1.1,Vincent,21.0,0.1794871794871795,GPT 01,22.0,0.2156862745098039,No AI,25.0,0.7142857142857143,Vincent,18.0,0.2432432432432432,GPT 01,11.0,0.0808823529411764,No AI
c93c749489f4cc74,31.0,0.5849056603773585,No AI,30.0,0.1612903225806451,Vincent,30.0,0.25,GPT 01,26.0,0.1940298507462686,No AI,25.0,0.2,Vincent,16.0,0.2352941176470588,GPT 01
b066caa360c869a0,13.0,0.2888888888888888,No AI,17.0,0.0708333333333333,Vincent,27.0,0.2454545454545454,GPT 01,27.0,0.1928571428571428,No AI,17.0,0.1545454545454545,Vincent,23.0,0.1642857142857142,GPT 01
f7b9fdfc04c988ab,18.0,0.3103448275862069,No AI,30.0,0.2222222222222222,Vincent,29.0,0.4202898550724637,GPT 01,21.0,0.1858407079646017,No AI,23.0,0.3285714285714285,Vincent,21.0,0.28,GPT 01
