Student_Number,P6_Criteria_1_Accuracy,P6_Criteria_2_Analysis,P6_Criteria_3_Organization,P6_Criteria_4_Clarity,P6_Criteria_5_Professionalism,P6_Total_Score,P6_Grade,P6_Hallucination,P6_Hallucination_Note,P6_Notes,Time_Spent_Assignment_6,Group,AI_Condition,P6_Productivity
3d53c1b0295b9a26,5.0,5.0,6.0,6.0,6.0,28.0,A-,,,,90.0,A,GPT 01,0.3111111111111111
544af5e3f23bd87a,7.0,6.0,7.0,6.0,7.0,33.0,A,,,,72.0,B,Vincent,0.4583333333333333
f3ca044a6fc18861,,,,,,,,,,,,C,No AI,
ad4e0a23d55a9bc2,1.0,2.0,2.0,5.0,2.0,12.0,C+,,,,95.0,C,No AI,0.12631578947368421
9109b13b11fd7782,4.0,4.0,2.0,2.0,6.0,18.0,B,,,,84.0,A,GPT 01,0.21428571428571427
6a370e860ed24357,4.0,4.0,6.0,5.0,4.0,23.0,B+,,,,150.0,C,No AI,0.15333333333333332
5c031f15ede898cb,,,,,,,,,,,,C,No AI,
8f7e1a35f9425a0e,,,,,,,,,,,,B,Vincent,
13b6a1020ad46272,1.0,1.0,3.0,4.0,1.0,10.0,C+,,,,47.0,B,Vincent,0.2127659574468085
7c4f2cdf9a7ba025,1.0,1.0,2.0,3.0,1.0,8.0,C+,,,,45.0,B,Vincent,0.17777777777777778
c55ed9175b0738c2,,,,,,,,,,,,B,Vincent,
33c5096295ad6e13,,,,,,,,,,,,C,No AI,
b382a87f990db71a,,,,,,,,,,,,C,No AI,
e0586dd6ba414274,3.0,4.0,5.0,5.0,6.0,23.0,B+,,,,120.0,A,GPT 01,0.19166666666666668
7e107a9c0ebdc482,7.0,6.0,7.0,7.0,7.0,34.0,A,,,,150.0,C,No AI,0.22666666666666666
2bfdab79d93e7bce,3.0,4.0,4.0,6.0,4.0,21.0,B,,,,20.0,B,Vincent,1.05
f4534ca99db52354,,,,,,,,,,,,B,Vincent,
889b30f2a988ff0a,7.0,5.0,6.0,7.0,6.0,31.0,A-,,,,33.0,B,Vincent,0.9393939393939394
efbfc0f029c0ac5f,1.0,1.0,2.0,2.0,1.0,7.0,C ,,,,150.0,C,No AI,0.04666666666666667
1532b47abfa256d4,1.0,2.0,2.0,4.0,5.0,14.0,B-,,,,103.0,B,Vincent,0.13592233009708737
824bb66524753233,1.0,1.0,1.0,3.0,1.0,7.0,C,,,,30.0,C,No AI,0.23333333333333334
f89651d646f1ab95,3.0,3.0,6.0,6.0,2.0,20.0,B,,,Rare over-word limit; 1450,50.0,A,GPT 01,0.4
02a6298460b477ce,1.0,3.0,2.0,1.0,1.0,8.0,C+,,,,150.0,B,Vincent,0.05333333333333334
3b79cd5d4dc9545c,3.0,2.0,1.0,2.0,5.0,13.0,B-,,,,64.0,C,No AI,0.203125
d43b490ad3b330c7,,,,,,,,,,,,B,Vincent,
81703482b559611e,1.0,1.0,1.0,3.0,1.0,7.0,C,,,NY/MI and admin sources only,54.0,B,Vincent,0.12962962962962962
8b3794f02b5e4db5,2.0,2.0,3.0,3.0,2.0,12.0,C+,,,,81.0,C,No AI,0.14814814814814814
79d436c6314eda33,1.0,3.0,4.0,5.0,2.0,15.0,B-,,,,60.0,A,GPT 01,0.25
9be12b158467797d,3.0,3.0,3.0,3.0,4.0,16.0,B-,,,,95.0,C,No AI,0.16842105263157894
820ef4cb24626154,4.0,3.0,2.0,5.0,6.0,20.0,B,,,,75.0,B,Vincent,0.26666666666666666
b342e13cf1dcabea,3.0,3.0,5.0,5.0,3.0,19.0,B,,,,110.0,C,No AI,0.17272727272727273
bfd51df7115d0bee,4.0,5.0,4.0,6.0,5.0,24.0,B+,,,,67.0,B,Vincent,0.3582089552238806
8fd8eb1d02d74b73,3.0,4.0,6.0,5.0,5.0,23.0,B+,,,,15.0,A,GPT 01,1.5333333333333334
60f4a10cf0e76952,1.0,3.0,6.0,6.0,4.0,20.0,B,,,No legal authority; no analogical or other legal reasoning.,71.0,A,GPT 01,0.28169014084507044
f7b9fdfc04c988ab,2.0,4.0,5.0,6.0,4.0,21.0,B,,,,75.0,A,GPT 01,0.28
446f96dc3003002c,5.0,6.0,7.0,7.0,7.0,32.0,A-,,,,110.0,A,GPT 01,0.2909090909090909
d2aff30970fe0d4c,5.0,5.0,5.0,6.0,7.0,28.0,A-,,,,116.0,C,No AI,0.2413793103448276
7f1b0f735e644984,4.0,5.0,5.0,6.0,7.0,27.0,B+,,,,64.0,B,Vincent,0.421875
742df284c8614f30,3.0,3.0,5.0,3.0,6.0,20.0,B,,,,93.0,C,No AI,0.21505376344086022
8cdf78ab6a3a812f,,,,,,,,,,,,B,Vincent,
9ee9f3b5b5934e01,2.0,2.0,4.0,5.0,4.0,17.0,B-,,,,90.0,B,Vincent,0.18888888888888888
af90ee0cf16ffd33,1.0,1.0,2.0,5.0,2.0,11.0,C+,,,,150.0,C,No AI,0.07333333333333333
2c2689aba2638d95,,,,,,,,,,,,A,GPT 01,
ce5032424903d61d,2.0,3.0,2.0,3.0,2.0,12.0,C+,,,,120.0,B,Vincent,0.1
1d27419a27bc132a,3.0,5.0,2.0,5.0,6.0,21.0,B,,,,36.0,B,Vincent,0.5833333333333334
68c3cbbda9ab9909,1.0,1.0,5.0,4.0,1.0,12.0,C+,,,,150.0,B,Vincent,0.08
475d59d3b81d4bac,5.0,6.0,5.0,7.0,7.0,30.0,A-,,,,90.0,A,GPT 01,0.3333333333333333
ef03ab8ccbaa668b,,,,,,,,,,,,C,No AI,
dd5b4506ccb8edff,4.0,3.0,3.0,4.0,5.0,19.0,B,,,,120.0,B,Vincent,0.15833333333333333
2cd520fd07667404,2.0,3.0,3.0,5.0,4.0,17.0,C,,,,47.0,B,Vincent,0.3617021276595745
e5515ac0c0f126c6,2.0,2.0,2.0,4.0,3.0,13.0,B-,,,,62.0,A,GPT 01,0.20967741935483872
7eb33ecb29043786,2.0,5.0,4.0,5.0,5.0,21.0,B,,,,47.0,B,Vincent,0.44680851063829785
7d228f6d656337bb,1.0,1.0,3.0,4.0,1.0,10.0,C+,,,,86.0,B,Vincent,0.11627906976744186
cdb181d570ee13d8,2.0,3.0,3.0,4.0,4.0,16.0,B-,,,,66.0,A,GPT 01,0.24242424242424243
1a20cabcd1a8d41b,,,,,,,,,,,,C,No AI,
e58dc153e9c0e8e4,2.0,2.0,4.0,3.0,4.0,15.0,B-,,,,120.0,C,No AI,0.125
f719e16be770c0b8,3.0,4.0,5.0,4.0,5.0,21.0,B,,,,60.0,A,GPT 01,0.35
43f61b7cd08cc6c4,7.0,6.0,7.0,6.0,6.0,32.0,A-,,,,103.0,C,No AI,0.3106796116504854
078cae7e345937f3,2.0,3.0,3.0,4.0,5.0,17.0,B-,,,,75.0,A,GPT 01,0.22666666666666666
8a1109561512c218,3.0,3.0,2.0,4.0,4.0,16.0,B-,,,,70.0,C,No AI,0.22857142857142856
f418aa093c4203e9,2.0,3.0,3.0,4.0,2.0,14.0,B-,,,,141.0,A,GPT 01,0.09929078014184398
2657ee4bf9f4af9e,2.0,2.0,3.0,4.0,4.0,15.0,B-,,,,19.0,B,Vincent,0.7894736842105263
aa1baebc4a1d7593,1.0,6.0,5.0,6.0,5.0,23.0,B+,,,,90.0,C,No AI,0.25555555555555554
191cebe1180b87c5,2.0,2.0,4.0,3.0,2.0,13.0,B-,,,,94.0,B,Vincent,0.13829787234042554
57704d5ad8b677c6,,,,,,,,,,,,A,GPT 01,
66f7ab8e6000f22a,5.0,6.0,6.0,6.0,4.0,27.0,B+,,,,98.0,A,GPT 01,0.2755102040816326
61cf76867144f7f2,6.0,6.0,4.0,6.0,6.0,28.0,A-,,,,85.0,C,No AI,0.32941176470588235
8a8a16cd60695e63,5.0,5.0,7.0,6.0,7.0,30.0,A-,,,,132.0,C,No AI,0.22727272727272727
8917388e20196b3b,3.0,4.0,6.0,6.0,7.0,26.0,B+,,,,30.0,A,GPT 01,0.8666666666666667
4a4289064cdbdc09,,,,,,,,,,,,A,GPT 01,
8b9bdb0a143ba05b,2.0,3.0,4.0,5.0,3.0,17.0,B-,,,,150.0,C,No AI,0.11333333333333333
2cf399b1e4b8218b,,,,,,,,,,,,A,GPT 01,
97fba5cb44daf59a,6.0,6.0,5.0,3.0,7.0,27.0,B+,,,,87.0,A,GPT 01,0.3103448275862069
8873cf8f31074e16,4.0,5.0,6.0,5.0,5.0,25.0,B+,,,,105.0,A,GPT 01,0.23809523809523808
724b54dabebd5f65,,,,,,,,,,,,A,GPT 01,
4b83c41e5327c306,,,,,,,,,,,,B,Vincent,
430c3b797887e240,4.0,4.0,5.0,6.0,6.0,25.0,B+,,,,90.0,A,GPT 01,0.2777777777777778
33801e2d42ffddfc,1.0,2.0,2.0,4.0,4.0,13.0,B-,,,,130.0,A,GPT 01,0.1
7dd7e803832f1b53,3.0,2.0,1.0,4.0,4.0,14.0,B-,,,,135.0,B,Vincent,0.1037037037037037
8e8ec402ff41e278,5.0,5.0,6.0,6.0,4.0,26.0,B+,,,,105.0,A,GPT 01,0.24761904761904763
29041031c3d5738c,1.0,1.0,1.0,2.0,1.0,6.0,C,,,,150.0,C,No AI,0.04
1f60b1ad89313d0d,2.0,2.0,4.0,5.0,2.0,15.0,B-,,,,90.0,B,Vincent,0.16666666666666666
421124a6a4ec2792,2.0,2.0,3.0,4.0,5.0,16.0,B-,,,,50.0,B,Vincent,0.32
26f3d54698dd2636,2.0,2.0,3.0,5.0,5.0,17.0,B-,,,,98.0,B,Vincent,0.17346938775510204
f3e93859c85d9caf,4.0,5.0,5.0,4.0,7.0,25.0,B+,,,,88.0,A,GPT 01,0.2840909090909091
7fb6a95e77f2886e,4.0,6.0,6.0,6.0,7.0,29.0,A-,,,,65.0,A,GPT 01,0.4461538461538462
069503ef9c782673,5.0,5.0,5.0,6.0,5.0,26.0,B+,,,,103.0,B,Vincent,0.2524271844660194
4145e4dd01e45431,5.0,4.0,4.0,5.0,7.0,25.0,B+,,,,105.0,A,GPT 01,0.23809523809523808
a6a04fd22939f38a,1.0,2.0,2.0,4.0,2.0,11.0,C+,,,EDMich/NY and secondary sources only,15.0,B,Vincent,0.7333333333333333
237698639e9c4d30,4.0,4.0,5.0,5.0,6.0,24.0,B+,,,,100.0,A,GPT 01,0.24
2da3540d563c6034,5.0,5.0,6.0,6.0,7.0,29.0,A-,,,,35.0,A,GPT 01,0.8285714285714286
70204533c2ea64a7,,,,,,,,,,,,C,No AI,
f9afd8e31ee8a875,4.0,5.0,5.0,6.0,5.0,25.0,B+,,,,10.0,A,GPT 01,2.5
e08dd06e4e008462,2.0,2.0,2.0,3.0,3.0,12.0,C+,,,,70.0,C,No AI,0.17142857142857143
5e4dc1276a5cbfd1,3.0,1.0,1.0,2.0,2.0,9.0,C+,,,,26.0,C,No AI,0.34615384615384615
de22252a67fcc399,5.0,6.0,6.0,5.0,6.0,28.0,A-,,,,150.0,C,No AI,0.18666666666666668
c93c749489f4cc74,2.0,2.0,3.0,5.0,4.0,16.0,B-,,,,68.0,A,GPT 01,0.23529411764705882
63f3737ed386432b,2.0,3.0,1.0,4.0,4.0,14.0,B-,,,,45.0,B,Vincent,0.3111111111111111
fd8b9815d1fcaf22,,,,,,,,,,,,C,No AI,
22357cb4b713c556,2.0,3.0,5.0,6.0,6.0,22.0,B,,, ,8.0,A,GPT 01,2.75
632e8584adc40b35,5.0,5.0,7.0,5.0,4.0,26.0,B+,,, ,111.0,C,No AI,0.23423423423423423
b066caa360c869a0,3.0,4.0,5.0,6.0,5.0,23.0,B+,,, ,140.0,A,GPT 01,0.16428571428571428
eb817297c2e6d83a,5.0,5.0,6.0,6.0,5.0,27.0,B+,,, ,87.0,C,No AI,0.3103448275862069
17a215d736ecc60d,6.0,6.0,7.0,6.0,6.0,31.0,A-,,, ,61.0,B,Vincent,0.5081967213114754
154726f1d96f65a1,,,,,,,,,,,,C,No AI,
69d5d27764fbbaac,2.0,4.0,3.0,5.0,6.0,20.0,B,,, ,79.0,B,Vincent,0.25316455696202533
3088c17c41bb79cf,3.0,3.0,4.0,5.0,7.0,22.0,B,,, ,121.0,A,GPT 01,0.18181818181818182
4f612a8708358179,,,,,,,,,,,,A,GPT 01,
8c09cd568a2f07d6,1.0,1.0,1.0,2.0,1.0,6.0,C,,, ,39.0,B,Vincent,0.15384615384615385
8944194b2121b319,2.0,2.0,2.0,3.0,5.0,14.0,B-,,, ,73.0,B,Vincent,0.1917808219178082
75bfae39ea7d8d5b,1.0,3.0,4.0,5.0,3.0,16.0,B-,,,No authority of any kind,22.0,B,Vincent,0.7272727272727273
17ca821110ac1fa2,5.0,5.0,6.0,5.0,6.0,27.0,B+,,, ,150.0,C,No AI,0.18
99036510fd96b8f9,,,,,,,,,,,,B,Vincent,
422317341c3e815e,1.0,2.0,3.0,5.0,1.0,12.0,C+,,, ,150.0,B,Vincent,0.08
e74d00befb08510a,3.0,4.0,5.0,5.0,6.0,23.0,B+,,, ,60.0,B,Vincent,0.38333333333333336
d64f01781e54567f,4.0,4.0,6.0,7.0,6.0,27.0,B+,,, ,135.0,B,Vincent,0.2
1ab6eb774f9416f2,,,,,,,,,,,,A,GPT 01,
0fa325208d547822,2.0,2.0,5.0,6.0,3.0,18.0,B,,, ,15.0,B,Vincent,1.2
d1082f98da60718d,1.0,1.0,2.0,3.0,1.0,8.0,C+,,, ,20.0,B,Vincent,0.4
f91d96f422d5707e,5.0,6.0,5.0,5.0,7.0,28.0,A-,,,,130.0,A,GPT 01,0.2153846153846154
05c223da1342eb22,6.0,5.0,4.0,6.0,7.0,28.0,A-,,, ,110.0,B,Vincent,0.2545454545454545
15947270bb099c07,5.0,5.0,6.0,6.0,7.0,29.0,A-,,, ,21.0,A,GPT 01,1.380952380952381
eb0657499c70202f,7.0,6.0,7.0,6.0,7.0,33.0,A ,,, ,92.0,A,GPT 01,0.358695652173913
0534f6d47f4a21f6,7.0,7.0,6.0,6.0,7.0,33.0,A,,, ,140.0,C,No AI,0.2357142857142857
11d471df43205dfb,2.0,2.0,3.0,3.0,4.0,14.0,B-,,, ,112.0,C,No AI,0.125
e0a9f0ffff131843,6.0,6.0,6.0,6.0,7.0,31.0,A-,,, ,66.0,C,No AI,0.4696969696969697
b0eea11d8aa104e7,2.0,2.0,2.0,3.0,4.0,13.0,B-,,, ,150.0,C,No AI,0.08666666666666667
22eaed27a6a72a3c,,,,,,,,,Omitted due to student doing all three treatments, ,120.0,C,No AI,
d8bb952342c588bb,4.0,5.0,4.0,4.0,4.0,21.0,B,,, ,60.0,B,Vincent,0.35
bf1a26353df9965e,2.0,3.0,3.0,4.0,5.0,17.0,B-,,,,28.0,B,Vincent,0.6071428571428571
09c545b24ffb476e,3.0,4.0,5.0,5.0,6.0,23.0,B+,,,,67.0,A,GPT 01,0.34328358208955223
a40efe211e46e49a,4.0,4.0,5.0,5.0,6.0,24.0,B+,,,,90.0,A,GPT 01,0.26666666666666666
7384d11c263ac7d9,5.0,5.0,7.0,6.0,7.0,30.0,A-,,, ,121.0,A,GPT 01,0.24793388429752067
9e2e00fa7c285ff5,2.0,3.0,5.0,3.0,4.0,17.0,B-,,, ,75.0,C,No AI,0.22666666666666666
eab55a7284651fe8,4.0,4.0,6.0,5.0,7.0,26.0,B+,,, ,120.0,C,No AI,0.21666666666666667
fc7f934bbaf5bcc5,4.0,1.0,3.0,5.0,2.0,15.0,B-,,, ,150.0,C,No AI,0.1
eb6be2f6ae0e29b1,2.0,2.0,1.0,4.0,2.0,11.0,C+,,, ,60.0,C,No AI,0.18333333333333332
98bd1346a5fce77b,2.0,3.0,2.0,5.0,2.0,14.0,B-,,, ,88.0,B,Vincent,0.1590909090909091
a067276138a65c6a,,,,,,,,,,,,C,No AI,
